producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4992 records sent, 997.6 records/sec (0.97 MB/sec), 10.0 ms avg latency, 496.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 4.3 ms avg latency, 9.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 4.3 ms avg latency, 26.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 8.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.0 ms avg latency, 18.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.0 ms avg latency, 8.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 7.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 15.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 7.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 3.9 ms avg latency, 7.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 16.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 3.8 ms avg latency, 8.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 8.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
100000 records sent, 999.700090 records/sec (0.98 MB/sec), 4.22 ms avg latency, 496.00 ms max latency, 4 ms 50th, 6 ms 95th, 7 ms 99th, 73 ms 99.9th.
