producer_index=1
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 7384.0 ms avg latency, 7384.0 ms max latency.
272 records sent, 54.4 records/sec (5.31 MB/sec), 615.3 ms avg latency, 1639.0 ms max latency.
269 records sent, 53.4 records/sec (5.21 MB/sec), 97.1 ms avg latency, 277.0 ms max latency.
304 records sent, 60.2 records/sec (5.88 MB/sec), 67.9 ms avg latency, 237.0 ms max latency.
344 records sent, 68.8 records/sec (6.72 MB/sec), 44.8 ms avg latency, 141.0 ms max latency.
417 records sent, 83.1 records/sec (8.12 MB/sec), 27.9 ms avg latency, 151.0 ms max latency.
387 records sent, 76.8 records/sec (7.50 MB/sec), 37.1 ms avg latency, 146.0 ms max latency.
371 records sent, 74.1 records/sec (7.24 MB/sec), 33.9 ms avg latency, 123.0 ms max latency.
352 records sent, 68.4 records/sec (6.68 MB/sec), 31.9 ms avg latency, 102.0 ms max latency.
371 records sent, 74.0 records/sec (7.23 MB/sec), 41.4 ms avg latency, 225.0 ms max latency.
347 records sent, 69.1 records/sec (6.74 MB/sec), 36.6 ms avg latency, 181.0 ms max latency.
353 records sent, 70.4 records/sec (6.87 MB/sec), 34.9 ms avg latency, 144.0 ms max latency.
356 records sent, 71.2 records/sec (6.95 MB/sec), 36.2 ms avg latency, 165.0 ms max latency.
347 records sent, 69.1 records/sec (6.75 MB/sec), 34.1 ms avg latency, 142.0 ms max latency.
368 records sent, 73.0 records/sec (7.13 MB/sec), 33.2 ms avg latency, 134.0 ms max latency.
368 records sent, 73.0 records/sec (7.13 MB/sec), 37.6 ms avg latency, 199.0 ms max latency.
380 records sent, 75.6 records/sec (7.38 MB/sec), 97.3 ms avg latency, 674.0 ms max latency.
370 records sent, 73.6 records/sec (7.19 MB/sec), 31.8 ms avg latency, 135.0 ms max latency.
389 records sent, 77.6 records/sec (7.58 MB/sec), 28.0 ms avg latency, 114.0 ms max latency.
363 records sent, 72.6 records/sec (7.09 MB/sec), 34.1 ms avg latency, 176.0 ms max latency.
371 records sent, 74.2 records/sec (7.24 MB/sec), 30.4 ms avg latency, 104.0 ms max latency.
379 records sent, 75.5 records/sec (7.37 MB/sec), 30.0 ms avg latency, 142.0 ms max latency.
372 records sent, 72.2 records/sec (7.05 MB/sec), 31.8 ms avg latency, 176.0 ms max latency.
397 records sent, 79.1 records/sec (7.73 MB/sec), 33.6 ms avg latency, 206.0 ms max latency.
8334 records sent, 67.040454 records/sec (6.55 MB/sec), 59.98 ms avg latency, 7384.00 ms max latency, 30 ms 50th, 141 ms 95th, 859 ms 99th, 1445 ms 99.9th.
