producer_index=4
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 6585.0 ms avg latency, 6585.0 ms max latency.
335 records sent, 66.1 records/sec (6.46 MB/sec), 1024.0 ms avg latency, 1602.0 ms max latency.
380 records sent, 75.4 records/sec (7.36 MB/sec), 250.9 ms avg latency, 983.0 ms max latency.
406 records sent, 80.8 records/sec (7.89 MB/sec), 55.9 ms avg latency, 199.0 ms max latency.
462 records sent, 92.4 records/sec (9.02 MB/sec), 25.8 ms avg latency, 92.0 ms max latency.
502 records sent, 100.1 records/sec (9.78 MB/sec), 23.1 ms avg latency, 132.0 ms max latency.
478 records sent, 95.5 records/sec (9.32 MB/sec), 23.9 ms avg latency, 90.0 ms max latency.
454 records sent, 90.8 records/sec (8.87 MB/sec), 23.8 ms avg latency, 112.0 ms max latency.
460 records sent, 91.7 records/sec (8.96 MB/sec), 27.2 ms avg latency, 154.0 ms max latency.
443 records sent, 88.5 records/sec (8.65 MB/sec), 25.6 ms avg latency, 103.0 ms max latency.
457 records sent, 91.3 records/sec (8.91 MB/sec), 22.7 ms avg latency, 76.0 ms max latency.
458 records sent, 91.5 records/sec (8.94 MB/sec), 25.7 ms avg latency, 79.0 ms max latency.
457 records sent, 91.3 records/sec (8.92 MB/sec), 22.3 ms avg latency, 83.0 ms max latency.
405 records sent, 80.5 records/sec (7.86 MB/sec), 1052.4 ms avg latency, 2495.0 ms max latency.
508 records sent, 100.9 records/sec (9.85 MB/sec), 112.7 ms avg latency, 1585.0 ms max latency.
451 records sent, 90.0 records/sec (8.79 MB/sec), 23.2 ms avg latency, 88.0 ms max latency.
465 records sent, 92.7 records/sec (9.05 MB/sec), 21.3 ms avg latency, 86.0 ms max latency.
457 records sent, 91.4 records/sec (8.92 MB/sec), 25.1 ms avg latency, 171.0 ms max latency.
472 records sent, 94.0 records/sec (9.18 MB/sec), 23.6 ms avg latency, 160.0 ms max latency.
8334 records sent, 82.842119 records/sec (8.09 MB/sec), 132.34 ms avg latency, 6585.00 ms max latency, 23 ms 50th, 995 ms 95th, 1654 ms 99th, 2377 ms 99.9th.
