sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1,1,999.670109,999.670109,999.670109,0.98,0.98,0.98,4.23,4.23,4.23,532,532.0,532.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2,1,999.70009,999.70009,999.70009,0.98,0.98,0.98,4.15,4.15,4.15,537,537.0,537.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3,1,999.670109,999.670109,999.670109,0.98,0.98,0.98,3.98,3.98,3.98,510,510.0,510.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial1,1,999.630137,999.630137,999.630137,0.98,0.98,0.98,4.06,4.06,4.06,497,497.0,497.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2,1,999.570185,999.570185,999.570185,0.98,0.98,0.98,4.09,4.09,4.09,523,523.0,523.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial3,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,4.03,4.03,4.03,493,493.0,493.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial1,1,999.704395,999.704395,999.704395,0.96,0.96,0.96,19.851723,19.851723,19.851723,3540,3540.0,3540.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2,1,999.455069,999.455069,999.455069,0.96,0.96,0.96,18.1633119,18.1633119,18.1633119,3488,3488.0,3488.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3,1,999.686278,999.686278,999.686278,0.96,0.96,0.96,19.1066491,19.1066491,19.1066491,3821,3821.0,3821.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1,1,999.691056,999.691056,999.691056,0.96,0.96,0.96,17.2533575,17.2533575,17.2533575,3218,3218.0,3218.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2,1,999.707678,999.707678,999.707678,0.96,0.96,0.96,17.583345700000002,17.583345700000002,17.583345700000002,3425,3425.0,3425.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3,1,999.652527,999.652527,999.652527,0.96,0.96,0.96,17.2583431,17.2583431,17.2583431,3366,3366.0,3366.0
