"run_id","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","throughput_records_per_sec","throughput_mb_per_sec","avg_latency_ms","max_latency_ms"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","lz4","100000","999.670109","0.98","4.23","532.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","lz4","100000","999.70009","0.98","4.15","537.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","lz4","100000","999.670109","0.98","3.98","510.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","none","100000","999.630137","0.98","4.06","497.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","none","100000","999.570185","0.98","4.09","523.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","none","100000","999.720078","0.98","4.03","493.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","lz4","100000","999.704395","0.96","19.851723","3540.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","lz4","100000","999.455069","0.96","18.1633119","3488.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","lz4","100000","999.686278","0.96","19.1066491","3821.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","none","100000","999.691056","0.96","17.2533575","3218.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","none","100000","999.707678","0.96","17.583345700000002","3425.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","none","100000","999.652527","0.96","17.2583431","3366.0"
