producer_index=4
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.00 MB/sec), 6972.0 ms avg latency, 6972.0 ms max latency.
1011 records sent, 201.6 records/sec (0.20 MB/sec), 318.6 ms avg latency, 748.0 ms max latency.
423 records sent, 84.6 records/sec (0.08 MB/sec), 17.3 ms avg latency, 51.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 9.5 ms avg latency, 25.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 11.4 ms avg latency, 37.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 11.6 ms avg latency, 26.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 11.1 ms avg latency, 29.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 9.9 ms avg latency, 31.0 ms max latency.
422 records sent, 84.1 records/sec (0.08 MB/sec), 9.4 ms avg latency, 17.0 ms max latency.
422 records sent, 84.2 records/sec (0.08 MB/sec), 10.1 ms avg latency, 19.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 9.7 ms avg latency, 28.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 9.2 ms avg latency, 24.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 9.4 ms avg latency, 16.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 8.7 ms avg latency, 18.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 7.7 ms avg latency, 18.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 6.9 ms avg latency, 12.0 ms max latency.
420 records sent, 83.9 records/sec (0.08 MB/sec), 6.8 ms avg latency, 19.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 7.5 ms avg latency, 23.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 6.1 ms avg latency, 10.0 ms max latency.
8334 records sent, 83.979081 records/sec (0.08 MB/sec), 47.80 ms avg latency, 6972.00 ms max latency, 9 ms 50th, 429 ms 95th, 648 ms 99th, 716 ms 99.9th.
