sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1,1,999.70009,999.70009,999.70009,0.98,0.98,0.98,4.04,4.04,4.04,493,493.0,493.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2,1,999.740068,999.740068,999.740068,0.98,0.98,0.98,4.14,4.14,4.14,518,518.0,518.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3,1,999.660116,999.660116,999.660116,0.98,0.98,0.98,4.21,4.21,4.21,542,542.0,542.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1,1,999.770053,999.770053,999.770053,0.98,0.98,0.98,4.14,4.14,4.14,498,498.0,498.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2,1,999.710084,999.710084,999.710084,0.98,0.98,0.98,4.05,4.05,4.05,519,519.0,519.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3,1,999.670109,999.670109,999.670109,0.98,0.98,0.98,4.14,4.14,4.14,536,536.0,536.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1,1,999.752936,999.752936,999.752936,0.96,0.96,0.96,37.4408257,37.4408257,37.4408257,7277,7277.0,7277.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2,1,999.627245,999.627245,999.627245,0.96,0.96,0.96,42.8698716,42.8698716,42.8698716,7228,7228.0,7228.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3,1,999.696778,999.696778,999.696778,0.96,0.96,0.96,41.2299146,41.2299146,41.2299146,7168,7168.0,7168.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1,1,998.909488,998.909488,998.909488,0.96,0.96,0.96,33.1958237,33.1958237,33.1958237,6924,6924.0,6924.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial2,1,998.798309,998.798309,998.798309,0.96,0.96,0.96,35.6848894,35.6848894,35.6848894,7046,7046.0,7046.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial3,1,998.697688,998.697688,998.697688,0.96,0.96,0.96,39.5025593,39.5025593,39.5025593,7057,7057.0,7057.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial1,1,999.739489,999.739489,999.739489,0.96,0.96,0.96,12.460019,12.460019,12.460019,3662,3662.0,3662.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial2,1,999.742813,999.742813,999.742813,0.96,0.96,0.96,12.3183656,12.3183656,12.3183656,3678,3678.0,3678.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial3,1,999.78285,999.78285,999.78285,0.96,0.96,0.96,11.996646299999998,11.996646299999998,11.996646299999998,3496,3496.0,3496.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial1,1,999.704325,999.704325,999.704325,0.96,0.96,0.96,11.644983400000001,11.644983400000001,11.644983400000001,3610,3610.0,3610.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial2,1,999.479088,999.479088,999.479088,0.96,0.96,0.96,12.1433586,12.1433586,12.1433586,3405,3405.0,3405.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial3,1,999.634776,999.634776,999.634776,0.96,0.96,0.96,12.8833375,12.8833375,12.8833375,3735,3735.0,3735.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial1,1,999.770053,999.770053,999.770053,0.98,0.98,0.98,5.11,5.11,5.11,514,514.0,514.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial2,1,999.760058,999.760058,999.760058,0.98,0.98,0.98,4.98,4.98,4.98,522,522.0,522.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial3,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,5.09,5.09,5.09,541,541.0,541.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial1,1,999.780048,999.780048,999.780048,0.98,0.98,0.98,5.02,5.02,5.02,507,507.0,507.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial2,1,999.770053,999.770053,999.770053,0.98,0.98,0.98,4.9,4.9,4.9,519,519.0,519.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial3,1,999.780048,999.780048,999.780048,0.98,0.98,0.98,5.06,5.06,5.06,520,520.0,520.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-complz4-trial1,1,999.567244,999.567244,999.567244,0.96,0.96,0.96,13.410020300000001,13.410020300000001,13.410020300000001,3674,3674.0,3674.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial1,1,999.475398,999.475398,999.475398,0.96,0.96,0.96,12.680020499999998,12.680020499999998,12.680020499999998,3462,3462.0,3462.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial2,1,999.595699,999.595699,999.595699,0.96,0.96,0.96,12.236668799999999,12.236668799999999,12.236668799999999,3370,3370.0,3370.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial3,1,999.68148,999.68148,999.68148,0.96,0.96,0.96,13.438361600000002,13.438361600000002,13.438361600000002,3474,3474.0,3474.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1,1,999.690096,999.690096,999.690096,0.98,0.98,0.98,4.07,4.07,4.07,509,509.0,509.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2,1,999.660116,999.660116,999.660116,0.98,0.98,0.98,4.05,4.05,4.05,501,501.0,501.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3,1,999.730073,999.730073,999.730073,0.98,0.98,0.98,4.11,4.11,4.11,537,537.0,537.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial1,1,999.630137,999.630137,999.630137,0.98,0.98,0.98,3.98,3.98,3.98,503,503.0,503.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,4.01,4.01,4.01,498,498.0,498.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial3,1,999.710084,999.710084,999.710084,0.98,0.98,0.98,4.03,4.03,4.03,489,489.0,489.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-complz4-trial1,1,999.419124,999.419124,999.419124,0.96,0.96,0.96,74.335119,74.335119,74.335119,7390,7390.0,7390.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-complz4-trial2,1,999.5814889999999,999.5814889999999,999.5814889999999,0.96,0.96,0.96,67.6340913,67.6340913,67.6340913,7217,7217.0,7217.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-complz4-trial3,1,999.55837,999.55837,999.55837,0.96,0.96,0.96,73.64675530000001,73.64675530000001,73.64675530000001,7157,7157.0,7157.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-compnone-trial1,1,999.293112,999.293112,999.293112,0.96,0.96,0.96,64.94829179999999,64.94829179999999,64.94829179999999,7154,7154.0,7154.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-compnone-trial2,1,999.4826469999999,999.4826469999999,999.4826469999999,0.96,0.96,0.96,67.5617336,67.5617336,67.5617336,7163,7163.0,7163.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-compnone-trial3,1,999.464491,999.464491,999.464491,0.96,0.96,0.96,66.8485684,66.8485684,66.8485684,7124,7124.0,7124.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial1,1,999.7629380000001,999.7629380000001,999.7629380000001,0.96,0.96,0.96,17.7682617,17.7682617,17.7682617,3672,3672.0,3672.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2,1,999.746256,999.746256,999.746256,0.96,0.96,0.96,18.5616815,18.5616815,18.5616815,3452,3452.0,3452.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3,1,999.687804,999.687804,999.687804,0.96,0.96,0.96,20.6750048,20.6750048,20.6750048,3493,3493.0,3493.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1,1,999.72117,999.72117,999.72117,0.96,0.96,0.96,16.4450188,16.4450188,16.4450188,3476,3476.0,3476.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2,1,999.713047,999.713047,999.713047,0.96,0.96,0.96,17.1766535,17.1766535,17.1766535,3329,3329.0,3329.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3,1,999.702874,999.702874,999.702874,0.96,0.96,0.96,17.961698900000002,17.961698900000002,17.961698900000002,3332,3332.0,3332.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial1,1,999.760058,999.760058,999.760058,0.98,0.98,0.98,4.89,4.89,4.89,543,543.0,543.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial2,1,999.750062,999.750062,999.750062,0.98,0.98,0.98,4.8,4.8,4.8,530,530.0,530.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial3,1,999.770053,999.770053,999.770053,0.98,0.98,0.98,4.89,4.89,4.89,562,562.0,562.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial1,1,999.750062,999.750062,999.750062,0.98,0.98,0.98,4.83,4.83,4.83,518,518.0,518.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial2,1,999.680102,999.680102,999.680102,0.98,0.98,0.98,4.72,4.72,4.72,503,503.0,503.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial3,1,999.760058,999.760058,999.760058,0.98,0.98,0.98,4.8,4.8,4.8,509,509.0,509.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial1,1,999.404576,999.404576,999.404576,0.96,0.96,0.96,81.5450068,81.5450068,81.5450068,7548,7548.0,7548.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial2,1,999.601324,999.601324,999.601324,0.96,0.96,0.96,77.1717379,77.1717379,77.1717379,7280,7280.0,7280.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial3,1,999.463556,999.463556,999.463556,0.96,0.96,0.96,80.2743605,80.2743605,80.2743605,7382,7382.0,7382.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial1,1,998.593918,998.593918,998.593918,0.96,0.96,0.96,74.7689925,74.7689925,74.7689925,7240,7240.0,7240.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial2,1,998.3453959999999,998.3453959999999,998.3453959999999,0.96,0.96,0.96,71.4141639,71.4141639,71.4141639,7161,7161.0,7161.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial3,1,998.434053,998.434053,998.434053,0.96,0.96,0.96,74.1147942,74.1147942,74.1147942,7103,7103.0,7103.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-complz4-trial1,1,999.609517,999.609517,999.609517,0.96,0.96,0.96,20.8899746,20.8899746,20.8899746,3523,3523.0,3523.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-complz4-trial2,1,999.677639,999.677639,999.677639,0.96,0.96,0.96,22.8933328,22.8933328,22.8933328,3645,3645.0,3645.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-complz4-trial3,1,999.685187,999.685187,999.685187,0.96,0.96,0.96,19.4000818,19.4000818,19.4000818,3823,3823.0,3823.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-compnone-trial1,1,999.578263,999.578263,999.578263,0.96,0.96,0.96,18.5316814,18.5316814,18.5316814,3422,3422.0,3422.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-compnone-trial2,1,999.577869,999.577869,999.577869,0.96,0.96,0.96,19.0900064,19.0900064,19.0900064,3487,3487.0,3487.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-compnone-trial3,1,999.453932,999.453932,999.453932,0.96,0.96,0.96,19.6133049,19.6133049,19.6133049,3504,3504.0,3504.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-complz4-trial1,1,999.70009,999.70009,999.70009,0.98,0.98,0.98,4.01,4.01,4.01,511,511.0,511.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-complz4-trial2,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,3.86,3.86,3.86,478,478.0,478.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-complz4-trial3,1,999.730073,999.730073,999.730073,0.98,0.98,0.98,4.24,4.24,4.24,533,533.0,533.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-compnone-trial1,1,999.740068,999.740068,999.740068,0.98,0.98,0.98,3.77,3.77,3.77,449,449.0,449.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-compnone-trial2,1,999.70009,999.70009,999.70009,0.98,0.98,0.98,3.83,3.83,3.83,487,487.0,487.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-compnone-trial3,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,3.84,3.84,3.84,483,483.0,483.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod12-complz4-trial1,1,999.504154,999.504154,999.504154,0.96,0.96,0.96,49.69333,49.69333,49.69333,7679,7679.0,7679.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod12-complz4-trial2,1,999.652555,999.652555,999.652555,0.96,0.96,0.96,47.0815883,47.0815883,47.0815883,7539,7539.0,7539.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod12-complz4-trial3,1,999.330372,999.330372,999.330372,0.96,0.96,0.96,50.8875196,50.8875196,50.8875196,7617,7617.0,7617.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod12-compnone-trial1,1,999.212666,999.212666,999.212666,0.96,0.96,0.96,47.3740946,47.3740946,47.3740946,7307,7307.0,7307.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod12-compnone-trial2,1,998.754582,998.754582,998.754582,0.96,0.96,0.96,46.9524236,46.9524236,46.9524236,7333,7333.0,7333.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod12-compnone-trial3,1,998.913825,998.913825,998.913825,0.96,0.96,0.96,48.4682871,48.4682871,48.4682871,7390,7390.0,7390.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod6-complz4-trial1,1,999.721327,999.721327,999.721327,0.96,0.96,0.96,16.7133264,16.7133264,16.7133264,3643,3643.0,3643.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod6-complz4-trial2,1,999.637641,999.637641,999.637641,0.96,0.96,0.96,17.1550019,17.1550019,17.1550019,3983,3983.0,3983.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod6-complz4-trial3,1,999.624878,999.624878,999.624878,0.96,0.96,0.96,14.2150332,14.2150332,14.2150332,3683,3683.0,3683.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod6-compnone-trial1,1,999.704449,999.704449,999.704449,0.96,0.96,0.96,12.5999678,12.5999678,12.5999678,3485,3485.0,3485.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod6-compnone-trial2,1,999.668179,999.668179,999.668179,0.96,0.96,0.96,14.1149718,14.1149718,14.1149718,3611,3611.0,3611.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod6-compnone-trial3,1,999.628302,999.628302,999.628302,0.96,0.96,0.96,13.83167,13.83167,13.83167,3802,3802.0,3802.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acksall-prod1-complz4-trial1,1,999.750062,999.750062,999.750062,0.98,0.98,0.98,5.33,5.33,5.33,560,560.0,560.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acksall-prod1-complz4-trial2,1,999.770053,999.770053,999.770053,0.98,0.98,0.98,5.36,5.36,5.36,540,540.0,540.0
plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acksall-prod1-complz4-trial3,1,999.80004,999.80004,999.80004,0.98,0.98,0.98,5.24,5.24,5.24,527,527.0,527.0
