producer_index=5
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 6856.0 ms avg latency, 6856.0 ms max latency.
993 records sent, 198.1 records/sec (0.19 MB/sec), 560.5 ms avg latency, 1309.0 ms max latency.
419 records sent, 83.7 records/sec (0.08 MB/sec), 13.0 ms avg latency, 54.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 8.0 ms avg latency, 25.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 10.8 ms avg latency, 21.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 9.3 ms avg latency, 17.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 9.1 ms avg latency, 15.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 9.2 ms avg latency, 25.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 9.2 ms avg latency, 15.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 9.5 ms avg latency, 29.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 9.1 ms avg latency, 18.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 8.8 ms avg latency, 14.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 7.9 ms avg latency, 23.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 6.8 ms avg latency, 16.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 6.1 ms avg latency, 14.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 6.0 ms avg latency, 10.0 ms max latency.
415 records sent, 82.8 records/sec (0.08 MB/sec), 6.4 ms avg latency, 13.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 6.3 ms avg latency, 11.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 5.8 ms avg latency, 8.0 ms max latency.
8333 records sent, 82.967432 records/sec (0.08 MB/sec), 74.85 ms avg latency, 6856.00 ms max latency, 8 ms 50th, 740 ms 95th, 1152 ms 99th, 1276 ms 99.9th.
