producer_index=1
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.00 MB/sec), 6673.0 ms avg latency, 6673.0 ms max latency.
988 records sent, 196.9 records/sec (0.19 MB/sec), 470.0 ms avg latency, 1021.0 ms max latency.
423 records sent, 84.4 records/sec (0.08 MB/sec), 11.3 ms avg latency, 74.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 8.7 ms avg latency, 19.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 9.9 ms avg latency, 18.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 9.8 ms avg latency, 25.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 9.7 ms avg latency, 30.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 9.2 ms avg latency, 15.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 8.7 ms avg latency, 14.0 ms max latency.
420 records sent, 83.9 records/sec (0.08 MB/sec), 8.9 ms avg latency, 18.0 ms max latency.
422 records sent, 84.2 records/sec (0.08 MB/sec), 8.6 ms avg latency, 15.0 ms max latency.
420 records sent, 83.9 records/sec (0.08 MB/sec), 8.1 ms avg latency, 13.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 6.9 ms avg latency, 13.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 6.5 ms avg latency, 11.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 5.9 ms avg latency, 12.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 6.4 ms avg latency, 10.0 ms max latency.
420 records sent, 84.0 records/sec (0.08 MB/sec), 6.6 ms avg latency, 21.0 ms max latency.
420 records sent, 83.9 records/sec (0.08 MB/sec), 5.8 ms avg latency, 9.0 ms max latency.
421 records sent, 84.1 records/sec (0.08 MB/sec), 5.8 ms avg latency, 8.0 ms max latency.
8334 records sent, 83.902989 records/sec (0.08 MB/sec), 63.57 ms avg latency, 6673.00 ms max latency, 8 ms 50th, 695 ms 95th, 958 ms 99th, 1000 ms 99.9th.
