run_id=plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acksall-prod1-compnone-trial2
producer_count=1
----- /var/lib/kafka-client/results/plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acksall-prod1-compnone-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4998 records sent, 999.0 records/sec (0.98 MB/sec), 10.1 ms avg latency, 542.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 5.1 ms avg latency, 11.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 18.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 5.0 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 5.1 ms avg latency, 13.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 5.3 ms avg latency, 20.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.9 ms avg latency, 12.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 5.7 ms avg latency, 21.0 ms max latency.
5006 records sent, 999.6 records/sec (0.98 MB/sec), 5.2 ms avg latency, 12.0 ms max latency.
5004 records sent, 1000.6 records/sec (0.98 MB/sec), 5.1 ms avg latency, 12.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 5.2 ms avg latency, 13.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 12.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 10.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 11.0 ms max latency.
5008 records sent, 1000.4 records/sec (0.98 MB/sec), 5.2 ms avg latency, 15.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 5.1 ms avg latency, 15.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.2 ms avg latency, 15.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 12.0 ms max latency.
100000 records sent, 999.740068 records/sec (0.98 MB/sec), 5.37 ms avg latency, 542.00 ms max latency, 5 ms 50th, 8 ms 95th, 10 ms 99th, 70 ms 99.9th.
