"run_id","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","throughput_records_per_sec","throughput_mb_per_sec","avg_latency_ms","max_latency_ms"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","131072","5","1","lz4","100000","999.70009","0.98","4.04","493.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","131072","5","1","lz4","100000","999.740068","0.98","4.14","518.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","131072","5","1","lz4","100000","999.660116","0.98","4.21","542.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","131072","5","1","none","100000","999.770053","0.98","4.14","498.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","131072","5","1","none","100000","999.710084","0.98","4.05","519.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","131072","5","1","none","100000","999.670109","0.98","4.14","536.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","12","1","131072","5","1","lz4","100000","999.752936","0.96","37.4408257","7277.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","12","1","131072","5","1","lz4","100000","999.627245","0.96","42.8698716","7228.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","12","1","131072","5","1","lz4","100000","999.696778","0.96","41.2299146","7168.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","12","1","131072","5","1","none","100000","998.909488","0.96","33.1958237","6924.0"
