run_id,benchmark_type,security_mode,baseline_name,sweep_name,sweep_variable,sweep_value,trial_index,trial_count,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,records_sent,records_consumed,throughput_records_per_sec,throughput_mb_per_sec,data_consumed_mb,avg_latency_ms,max_latency_ms,rebalance_time_ms,fetch_time_ms,producer_count_observed,producer_throughput_records_per_sec_min,producer_throughput_records_per_sec_max,producer_avg_latency_ms_min,producer_avg_latency_ms_max,interval_summary_count,interval_avg_latency_ms_p95,interval_avg_latency_ms_p99,interval_max_latency_ms_p95,interval_max_latency_ms_p99,telemetry_host_count,benchmark_client_cpu_percent_mean,broker_cpu_percent_mean,broker_cpu_percent_max_mean,benchmark_client_memory_used_percent_mean,broker_memory_used_percent_mean,benchmark_client_network_rx_bytes_delta,benchmark_client_network_tx_bytes_delta,broker_network_rx_bytes_delta_mean,broker_network_tx_bytes_delta_mean,broker_network_rx_bytes_delta_total,broker_network_tx_bytes_delta_total,benchmark_client_disk_read_sectors_delta,benchmark_client_disk_write_sectors_delta,broker_disk_read_sectors_delta_mean,broker_disk_write_sectors_delta_mean,broker_disk_read_sectors_delta_total,broker_disk_write_sectors_delta_total,result_set,source_summary_csv,dataset
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1,1,3,5,6,3,3,100000,1024,1000.0,1,1,131072,5,1,lz4,100000.0,,999.690096,0.98,,4.32,666.0,,,1.0,999.690096,999.690096,4.32,4.32,19.0,4.929999999999986,9.466,98.09999999999866,552.4200000000002,6,24.382363636363635,16.159568822560374,34.136,10.424,23.057228016153285,3647517.0,108542648.0,66713682.0,46322210.8,333568410.0,231611054.0,0.0,17232.0,0.0,161145.6,0.0,805728.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2,2,3,5,6,3,3,100000,1024,1000.0,1,1,131072,5,1,lz4,100000.0,,999.730073,0.98,,4.1,648.0,,,1.0,999.730073,999.730073,4.1,4.1,19.0,4.399999999999996,5.840000000000001,89.09999999999867,536.2200000000003,6,24.66396396396396,16.292713101710294,34.464,10.394054054054054,23.038914588041973,3634804.0,108533831.0,66706423.0,46313762.4,333532115.0,231568812.0,0.0,26424.0,0.0,166289.6,0.0,831448.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3,3,3,5,6,3,3,100000,1024,1000.0,1,1,131072,5,1,lz4,100000.0,,999.730073,0.98,,4.15,663.0,,,1.0,999.730073,999.730073,4.15,4.15,19.0,4.519999999999993,6.824000000000002,103.19999999999868,551.0400000000002,6,24.942342342342343,16.102094773469798,33.3,10.407927927927927,23.047028370658744,3643016.0,108535055.0,66714163.2,46323535.0,333570816.0,231617675.0,0.0,34768.0,0.0,161747.2,0.0,808736.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1,1,3,5,6,3,3,100000,1024,1000.0,1,1,131072,5,1,none,100000.0,,999.460291,0.98,,4.07,562.0,,,1.0,999.460291,999.460291,4.07,4.07,19.0,4.379999999999996,5.676,86.79999999999887,466.96000000000015,6,24.39846846846847,15.918626959962818,37.546,10.20936936936937,23.031124109715645,3656584.0,108285898.0,66550840.2,46208692.0,332754201.0,231043460.0,0.0,19640.0,0.0,166550.4,0.0,832752.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2,2,3,5,6,3,3,100000,1024,1000.0,1,1,131072,5,1,none,100000.0,,999.770053,0.98,,4.11,607.0,,,1.0,999.770053,999.770053,4.11,4.11,19.0,4.5499999999999945,6.3500000000000005,85.89999999999877,502.78000000000014,6,24.24,16.116119060117615,34.164,10.178636363636365,23.03484292029005,3652393.0,108271459.0,66553820.0,46214153.2,332769100.0,231070766.0,0.0,19600.0,0.0,161923.2,0.0,809616.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3,3,3,5,6,3,3,100000,1024,1000.0,1,1,131072,5,1,none,100000.0,,999.740068,0.98,,4.3,590.0,,,1.0,999.740068,999.740068,4.3,4.3,19.0,4.9899999999999896,8.518,101.29999999999885,492.26000000000016,6,24.81418181818182,16.745142668074337,42.45399999999999,10.156363636363636,23.06425298565672,3643972.0,108270156.0,66540484.0,46199042.2,332702420.0,230995211.0,0.0,17408.0,0.0,163892.8,0.0,819464.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1,1,3,5,6,3,3,100000,1024,1000.0,12,1,131072,5,1,lz4,100000.0,,998.244687,0.96,,57.6409163,9353.0,,,12.0,82.815714,83.96216,32.94,83.23,227.0,5670.519999999916,8667.66,5831.799999999922,8667.66,6,93.50008849557524,20.352769487656857,35.525999999999996,24.906814159292033,23.035590421394847,15197690.0,124882547.0,80151480.2,60422360.0,400757401.0,302111800.0,0.0,56864.0,0.0,175729.6,0.0,878648.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2,2,3,5,6,3,3,100000,1024,1000.0,12,1,131072,5,1,lz4,100000.0,,998.990164,0.96,,55.9860663,9305.0,,,12.0,82.763895,83.891165,31.54,80.04,226.0,5666.95,9138.25,5795.25,9138.25,6,92.5572268907563,20.126056201122747,36.408,25.082100840336135,23.047699748343152,15136643.0,124817715.0,80103014.2,60358969.0,400515071.0,301794845.0,0.0,53176.0,0.0,174227.2,0.0,871136.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3,3,3,5,6,3,3,100000,1024,1000.0,12,1,131072,5,1,lz4,100000.0,,998.536753,0.96,,60.0582322,9373.0,,,12.0,82.739242,83.865839,43.21,80.18,225.0,6467.1599999998725,9128.039999999995,6584.1999999998825,9128.039999999995,6,92.5638655462185,20.08481143809812,34.96,25.09831932773109,23.05230986845386,15072312.0,124694280.0,80036263.6,60306962.0,400181318.0,301534810.0,0.0,51824.0,0.0,177094.4,0.0,885472.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1,producer,plaintext,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1,1,3,5,6,3,3,100000,1024,1000.0,12,1,131072,5,1,none,100000.0,,997.247234,0.96,,53.126560700000006,9531.0,,,12.0,82.570353,83.773107,40.93,66.97,227.0,5178.549999999922,8682.060000000001,5335.299999999928,8682.060000000001,6,93.58731092436976,20.007160876999635,37.708,21.27512605042017,23.076925560102147,15345850.0,124085534.0,79731352.6,60213237.4,398656763.0,301066187.0,0.0,41848.0,0.0,175267.2,0.0,876336.0,plaintext_broker5,results/factorial-final/security-overhead-final-plaintext-broker5/summary.csv,producer
