benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,records_consumed,records consumed,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,throughput_records_per_sec,Throughput records/s,-53.6375157500677,53.6375157500677
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,throughput_mb_per_sec,Throughput MB/s,-53.637541859262974,53.637541859262974
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,rebalance_time_ms,Consumer rebalance time ms,63.39969372128637,63.39969372128637
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,fetch_time_ms,Consumer fetch time ms,144.7278911564626,144.7278911564626
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,-5.301681188545582,-5.301681188545582
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_cpu_percent_mean,Broker CPU mean %,-30.758761177398508,-30.758761177398508
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,-24.491359088515484,-24.491359088515484
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-2.1132692352844593,-2.1132692352844593
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_memory_used_percent_mean,Broker memory %,57.57432108271272,57.57432108271272
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1.8002088282006006,1.8002088282006006
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.4989952881418116,3.4989952881418116
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.5509591097274362,2.5509591097274362
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,2.199255498017213,2.199255498017213
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,59.738328873030035,59.738328873030035
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,-100.0,-100.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1.9954232506756548,1.9954232506756548
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,records_consumed,records consumed,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,throughput_records_per_sec,Throughput records/s,-59.72252815295567,59.72252815295567
