benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,throughput_records_per_sec,Throughput records/s,0.006998368822483421,-0.006998368822483421
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,throughput_mb_per_sec,Throughput MB/s,0.0,0.0
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,avg_latency_ms,Average latency ms,69.67592592592592,69.67592592592592
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,max_latency_ms,Maximum latency ms,67.41741741741741,67.41741741741741
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,0.006998368822483421,-0.006998368822483421
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,0.006998368822483421,-0.006998368822483421
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,69.67592592592592,69.67592592592592
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,69.67592592592592,69.67592592592592
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,121.70385395537326,121.70385395537326
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,474.11789562645276,474.11789562645276
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,34.76044852191586,34.76044852191586
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,66.25755765540713,66.25755765540713
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,9.100740528868538,9.100740528868538
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_cpu_percent_mean,Broker CPU mean %,-37.79960535798954,-37.79960535798954
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,-5.413639559409439,-5.413639559409439
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-3.3523256770091074,-3.3523256770091074
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_memory_used_percent_mean,Broker memory %,-8.04396925381281,-8.04396925381281
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,33.678198072825985,33.678198072825985
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.2015406515602973,3.2015406515602973
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.0426547585846078,2.0426547585846078
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,2.1836401642557313,2.1836401642557313
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,2.0426547585846033,2.0426547585846033
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,2.1836401642557184,2.1836401642557184
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,121.30919220055709,121.30919220055709
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,7.190515906112226,7.190515906112226
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,7.190515906112236,7.190515906112236
