benchmark_type,comparison_mode,metric,metric_label,factor,level_count,lowest_mean_penalty_level,lowest_mean_penalty_pct,highest_mean_penalty_level,highest_mean_penalty_pct,mean_penalty_spread_pct
producer,tls,throughput_records_per_sec,Throughput records/s,broker_count,2,5,10.162807102656279,3,12.843324984620564,2.6805178819642848
producer,tls,throughput_records_per_sec,Throughput records/s,replication_factor,2,5,10.528569954193935,3,11.137303192100767,0.6087332379068311
producer,tls,throughput_records_per_sec,Throughput records/s,min_insync_replicas,2,4,10.476371936507267,3,10.95179145202738,0.4754195155201124
producer,tls,throughput_records_per_sec,Throughput records/s,record_size_bytes,3,102400,8.41205660049386,10240,12.13339149125423,3.721334890760369
producer,tls,throughput_records_per_sec,Throughput records/s,throughput_limit_records_per_sec,2,1000,2.494941911644869,10000,19.170931234649835,16.675989323004966
producer,tls,throughput_records_per_sec,Throughput records/s,batch_size,2,16384,10.473279956901253,131072,11.192593189393449,0.7193132324921958
producer,tls,throughput_records_per_sec,Throughput records/s,acks,2,all,10.663145621352326,1,11.002727524942376,0.3395819035900498
producer,tls,throughput_records_per_sec,Throughput records/s,producer_count,3,1,2.7086732428596143,12,17.024776533024124,14.31610329016451
producer,tls,throughput_records_per_sec,Throughput records/s,compression_type,2,lz4,9.98720473156853,none,11.678668414726173,1.691463683157643
producer,tls,avg_latency_ms,Average latency ms,broker_count,2,5,896.1646551579879,3,1120.439261537771,224.2746063797831
producer,tls,avg_latency_ms,Average latency ms,replication_factor,2,5,865.6187353864594,3,1038.847878119408,173.22914273294862
producer,tls,avg_latency_ms,Average latency ms,min_insync_replicas,2,4,861.0531008504954,3,982.6267087204131,121.57360786991774
producer,tls,avg_latency_ms,Average latency ms,record_size_bytes,3,1024,804.7335076269036,10240,1213.2855863738373,408.5520787469337
producer,tls,avg_latency_ms,Average latency ms,throughput_limit_records_per_sec,2,1000,719.6406886889812,10000,1184.8259248168863,465.1852361279051
producer,tls,avg_latency_ms,Average latency ms,batch_size,2,16384,479.6348456205993,131072,1424.8317678852682,945.1969222646688
producer,tls,avg_latency_ms,Average latency ms,acks,2,all,850.9654208732945,1,1053.5011926325728,202.5357717592783
