benchmark_type,comparison_mode,metric,metric_label,count,rows_worse,rows_better,rows_equal,pct_rows_worse,mean_penalty_pct,median_penalty_pct,paired_effect_dz,sign_test_z,sign_test_p_approx
producer,tls,throughput_records_per_sec,Throughput records/s,1728,1284,431,13,74.30555555555556,10.832936573147352,3.7739674717524894,0.7765772736686836,20.573469286534177,4.7447418352228145e-94
producer,tls,avg_latency_ms,Average latency ms,1728,1718,10,0,99.42129629629629,952.2333067529336,530.3040736788205,0.8572432915524925,41.06403789611213,0.0
producer,tls,max_latency_ms,Maximum latency ms,1728,1696,32,0,98.14814814814815,79.30084701129898,79.36203918857996,2.647888174527143,40.00556240259782,0.0
producer,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1727,1030,697,0,59.640995946728424,2.4944346811448974,0.6064738856986687,0.02223853057950395,7.988990687573607,1.3604797036252888e-15
producer,tls,broker_cpu_percent_mean,Broker CPU mean %,1725,458,1267,0,26.55072463768116,-17.06238484935136,-21.05906626711051,-0.6106943460844659,-19.454353858660305,2.677058351619444e-84
producer,mtls,throughput_records_per_sec,Throughput records/s,1728,1170,550,8,67.70833333333334,9.566265273487966,0.1194148688938085,0.6668769180451429,14.925415346174255,2.252287807099097e-50
producer,mtls,avg_latency_ms,Average latency ms,1728,1716,12,0,99.30555555555556,957.8142289136999,576.3060168103005,0.857529916679335,40.967812851247196,0.0
producer,mtls,max_latency_ms,Maximum latency ms,1728,1703,25,0,98.55324074074075,91.79742033500463,88.03234047907566,2.5736310382894874,40.3423500596251,0.0
producer,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1727,845,882,0,48.92877822814128,-0.5472603047901541,-0.074999473713938,-0.004753462842427352,-0.8662760986525598,0.3863387702689742
producer,mtls,broker_cpu_percent_mean,Broker CPU mean %,1726,314,1412,0,18.192352259559673,-27.417441821229062,-31.872414065214663,-0.8925164252285275,-26.40500365167041,1.2003777230947759e-153
