security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
mtls,throughput_records_per_sec,Throughput records/s,24,15488.130570833333,12606.2976,12644.757057824809,2833.2625,3058.8085499999997,28734.24835,32185.3878
plaintext,throughput_records_per_sec,Throughput records/s,24,28734.78255,22860.9686,25714.14912108261,3327.8978,3574.594675,53498.92005,65530.7995
tls,throughput_records_per_sec,Throughput records/s,24,14819.159816666666,13205.1013,12343.155826727223,1975.5818,2617.680175,26772.723375,31565.6566
mtls,throughput_mb_per_sec,Throughput MB/s,24,160.30145,154.05839999999998,133.28065328994364,21.5055,28.218925,291.71465,311.6225
plaintext,throughput_mb_per_sec,Throughput MB/s,24,201.74299999999997,194.49245000000002,149.63819544804562,40.8604,52.56847500000001,346.093975,378.9974
tls,throughput_mb_per_sec,Throughput MB/s,24,138.84515416666667,111.87684999999999,113.43192976555359,23.0757,26.532275,251.60287499999998,271.554
mtls,data_consumed_mb,Data consumed MB,24,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
plaintext,data_consumed_mb,Data consumed MB,24,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
tls,data_consumed_mb,Data consumed MB,24,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
mtls,fetch_time_ms,Consumer fetch time ms,24,17472.916666666668,16895.0,14897.322278731466,2140.0,2489.0,31678.75,34295.0
plaintext,fetch_time_ms,Consumer fetch time ms,24,14237.75,13445.0,13036.737703026014,899.0,1177.5,27338.5,29360.0
tls,fetch_time_ms,Consumer fetch time ms,24,20292.416666666668,19003.0,17862.9185556669,2078.0,2592.5,37143.5,48123.0
mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,40.01629554566953,37.815975268817205,21.952592148872988,16.798277153558054,18.49147309330236,59.91034736842105,66.66315789473684
plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,50.209925500383356,48.352020076323214,21.53466632193916,27.66564516129032,28.997443343233467,70.66027533255087,76.96868055555555
tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,48.04298962676368,28.6025,23.47145907076405,22.441557863501483,27.1437109375,68.44076433121019,91.9978878504673
mtls,broker_cpu_percent_mean,Broker CPU mean %,24,15.14434169873104,15.079794851683682,9.350134222138491,5.396487555738741,5.839292264304235,24.457649909419384,24.878199610213965
plaintext,broker_cpu_percent_mean,Broker CPU mean %,24,25.395204581910587,27.775163953078142,7.4573560343315926,16.801545531762603,17.461324773505126,32.7918396847201,33.49067340177673
tls,broker_cpu_percent_mean,Broker CPU mean %,24,22.34248926321105,14.638324418973006,10.390868529964875,12.287528931923646,12.600528292663473,32.707973727206536,38.62908539018291
