compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
lz4,mtls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
lz4,plaintext,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
lz4,tls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
none,mtls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
none,plaintext,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
none,tls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
lz4,mtls,throughput_records_per_sec,Throughput records/s,12,15104.989183333337,12486.4568,12397.356996533314,2833.2625,2875.879425,26962.690175,30627.8714
lz4,plaintext,throughput_records_per_sec,Throughput records/s,12,26626.454191666664,22684.8551,23437.15930365531,3327.8978,3475.9422000000004,51327.2543,54674.6856
lz4,tls,throughput_records_per_sec,Throughput records/s,12,14322.22765,13092.634750000001,11986.174605051907,1975.5818,2496.0935,25853.22405,29052.8762
none,mtls,throughput_records_per_sec,Throughput records/s,12,15871.271958333336,13385.1793,12876.012851721465,3094.6339,3121.2394,28991.832225000002,32185.3878
none,plaintext,throughput_records_per_sec,Throughput records/s,12,30843.110908333343,25207.10215,27644.970553149902,3589.8909,3749.2154250000003,62402.660475,65530.7995
none,tls,throughput_records_per_sec,Throughput records/s,12,15316.091983333334,14174.8106,12670.624558655865,2638.3136,2766.895975,27013.059175000002,31565.6566
lz4,mtls,throughput_mb_per_sec,Throughput MB/s,12,154.0961166666667,153.2979,127.45071537832987,21.5055,27.431375,280.557125,288.2161
lz4,plaintext,throughput_mb_per_sec,Throughput MB/s,12,192.99404166666667,189.1916,144.46948889876631,40.8604,51.4303,338.82914999999997,344.6002
lz4,tls,throughput_mb_per_sec,Throughput MB/s,12,130.539175,110.6499,105.83922958517574,23.0757,26.23295,242.87405,249.5879
none,mtls,throughput_mb_per_sec,Throughput MB/s,12,166.50678333333335,166.82065,138.58848404100797,23.0267,28.341124999999998,303.940525,311.6225
none,plaintext,throughput_mb_per_sec,Throughput MB/s,12,210.49195833333332,207.2851,154.1384355291938,45.4426,61.05435,365.99025,378.9974
