record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1024,mtls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
1024,plaintext,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
1024,tls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
102400,mtls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
102400,plaintext,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
102400,tls,records_consumed,records consumed,12,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
1024,mtls,throughput_records_per_sec,Throughput records/s,12,27973.017633333333,28815.2016,2831.8177669898882,22021.5811,26309.783075,29777.374825,32185.3878
1024,plaintext,throughput_records_per_sec,Throughput records/s,12,53876.63466666667,53664.5068,7627.804095118942,41841.0042,47639.078725,62402.660475,65530.7995
1024,tls,throughput_records_per_sec,Throughput records/s,12,27065.42505,26970.90515,2171.9186223262313,23629.4896,25513.816775,28509.677975,31565.6566
102400,mtls,throughput_records_per_sec,Throughput records/s,12,3003.243508333333,3022.9831999999997,125.5400757579126,2833.2625,2875.879425,3112.3508,3191.0141
102400,plaintext,throughput_records_per_sec,Throughput records/s,12,3592.930433333333,3559.2984500000002,161.48998842413485,3327.8978,3475.9422000000004,3747.7400749999997,3880.933
102400,tls,throughput_records_per_sec,Throughput records/s,12,2572.8945833333332,2597.04675,218.48728437938075,1975.5818,2496.0935,2756.067525,2780.713
1024,mtls,throughput_mb_per_sec,Throughput MB/s,12,27.317400000000003,28.13985,2.7654345918257883,21.5055,25.693125000000002,29.079475,31.431
1024,plaintext,throughput_mb_per_sec,Throughput MB/s,12,52.61389166666667,52.40675,7.449012451152875,40.8604,46.522525,60.94005,63.9949
1024,tls,throughput_mb_per_sec,Throughput MB/s,12,26.43106666666667,26.338749999999997,2.121008999011765,23.0757,24.9158,27.8415,30.8258
102400,mtls,throughput_mb_per_sec,Throughput MB/s,12,293.2855,295.21320000000003,12.259785703741596,276.6858,280.847575,303.940525,311.6225
102400,plaintext,throughput_mb_per_sec,Throughput MB/s,12,350.8721083333334,347.58775,15.77052259144987,324.99,339.44745,365.99025,378.9974
102400,tls,throughput_mb_per_sec,Throughput MB/s,12,251.25924166666667,253.61785,21.336648391576496,192.9279,243.75914999999998,269.147225,271.554
1024,mtls,data_consumed_mb,Data consumed MB,12,97.6563,97.6563,0.0,97.6563,97.6563,97.6563,97.6563
1024,plaintext,data_consumed_mb,Data consumed MB,12,97.6563,97.6563,0.0,97.6563,97.6563,97.6563,97.6563
1024,tls,data_consumed_mb,Data consumed MB,12,97.6563,97.6563,0.0,97.6563,97.6563,97.6563,97.6563
102400,mtls,data_consumed_mb,Data consumed MB,12,9765.625,9765.625,0.0,9765.625,9765.625,9765.625,9765.625
102400,plaintext,data_consumed_mb,Data consumed MB,12,9765.625,9765.625,0.0,9765.625,9765.625,9765.625,9765.625
102400,tls,data_consumed_mb,Data consumed MB,12,9765.625,9765.625,0.0,9765.625,9765.625,9765.625,9765.625
1024,mtls,rebalance_time_ms,Consumer rebalance time ms,12,1003.3333333333334,997.5,59.51657098844172,936.0,955.5,1034.75,1152.0
1024,plaintext,rebalance_time_ms,Consumer rebalance time ms,12,662.8333333333334,658.5,43.76039559033056,576.0,635.75,697.5,731.0
1024,tls,rebalance_time_ms,Consumer rebalance time ms,12,1109.4166666666667,1068.0,99.33651421081552,1014.0,1052.5,1136.75,1388.0
102400,mtls,rebalance_time_ms,Consumer rebalance time ms,12,1021.8333333333334,1025.0,58.83711036034617,923.0,970.5,1063.25,1129.0
102400,plaintext,rebalance_time_ms,Consumer rebalance time ms,12,644.25,646.5,26.28727512187852,600.0,626.75,660.5,689.0
102400,tls,rebalance_time_ms,Consumer rebalance time ms,12,1219.0,1100.5,386.11548358835165,1058.0,1073.0,1144.5,2495.0
1024,mtls,fetch_time_ms,Consumer fetch time ms,12,2612.0,2477.0,421.00494850615075,2140.0,2322.0,2806.5,3581.0
1024,plaintext,fetch_time_ms,Consumer fetch time ms,12,1231.5,1177.0,267.5741330298328,899.0,1001.5,1429.75,1749.0
1024,tls,fetch_time_ms,Consumer fetch time ms,12,2608.75,2587.0,298.0713351419981,2078.0,2370.5,2880.75,3163.0
102400,mtls,fetch_time_ms,Consumer fetch time ms,12,32333.833333333332,32067.5,1410.4923391812126,30209.0,31161.0,33814.75,34295.0
