trial_index,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,mtls,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
1,plaintext,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
1,tls,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
2,mtls,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
2,plaintext,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
2,tls,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
3,mtls,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
3,plaintext,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
3,tls,records_consumed,records consumed,8,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
1,mtls,throughput_records_per_sec,Throughput records/s,8,14570.5741875,12564.7438,11821.391422392593,2877.3666,3058.8085499999997,24760.647624999998,30627.8714
1,plaintext,throughput_records_per_sec,Throughput records/s,8,25998.76345,24083.956299999998,22544.13851537086,3327.8978,3694.641325,46901.873775,54674.6856
1,tls,throughput_records_per_sec,Throughput records/s,8,14856.601125,14064.62775,12396.046853003463,1975.5818,2704.38895,26800.925425,29420.4178
2,mtls,throughput_records_per_sec,Throughput records/s,8,15787.657587500002,14584.555,12827.843430392672,2871.4179,3069.59425,28991.832225000002,30220.6105
2,plaintext,throughput_records_per_sec,Throughput records/s,8,29749.4111375,22794.0033,26967.868026637716,3434.8916,3586.77455,56082.79515,65530.7995
2,tls,throughput_records_per_sec,Throughput records/s,8,15180.913400000001,13204.174,12700.710155378973,2482.4984,2699.05755,27607.6045,31565.6566
3,mtls,throughput_records_per_sec,Throughput records/s,8,16106.1599375,14795.08465,13193.073730930713,2833.2625,3037.659,28897.378725,32185.3878
3,plaintext,throughput_records_per_sec,Throughput records/s,8,30456.1730625,27228.03885,27141.662638438007,3466.4448,3564.957625,55644.555674999996,62735.2572
3,tls,throughput_records_per_sec,Throughput records/s,8,14419.964925,13604.5287,11907.932112153225,2407.8979,2617.680175,25658.402700000002,29052.8762
1,mtls,throughput_mb_per_sec,Throughput MB/s,8,159.6261375,155.4514,134.29448248840063,21.5055,26.487575,291.71465,303.5065
1,plaintext,throughput_mb_per_sec,Throughput MB/s,8,200.4701625,189.1916,153.9447850017169,43.249,46.522525,350.00174999999996,378.9974
1,tls,throughput_mb_per_sec,Throughput MB/s,8,135.71124999999998,110.82939999999999,111.45927127398375,24.7544,26.614925,250.834625,271.554
2,mtls,throughput_mb_per_sec,Throughput MB/s,8,160.749825,154.9621,133.1154032322495,25.4313,28.341124999999998,288.81010000000003,305.4144
2,plaintext,throughput_mb_per_sec,Throughput MB/s,8,201.66968749999998,199.71675,147.43379649146289,40.8604,58.844725,343.261375,365.9182
2,tls,throughput_mb_per_sec,Throughput MB/s,8,142.39735,136.62865,115.67885004604342,23.0757,27.429975,253.50254999999999,271.3729
3,mtls,throughput_mb_per_sec,Throughput MB/s,8,160.5283875,154.05839999999998,132.4226960604888,25.7804,28.696824999999997,285.144125,311.6225
3,plaintext,throughput_mb_per_sec,Throughput MB/s,8,203.08915,199.89245,147.43001669905962,49.4713,58.85445,343.2706,370.8512
3,tls,throughput_mb_per_sec,Throughput MB/s,8,138.4268625,131.7591,113.01782227430921,23.9471,25.2318,251.60287499999998,262.4251
1,mtls,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
1,plaintext,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
1,tls,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
2,mtls,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
2,plaintext,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
2,tls,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
3,mtls,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
3,plaintext,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
3,tls,data_consumed_mb,Data consumed MB,8,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
1,mtls,rebalance_time_ms,Consumer rebalance time ms,8,993.375,994.0,35.319744832034104,942.0,962.25,1026.0,1038.0
1,plaintext,rebalance_time_ms,Consumer rebalance time ms,8,655.5,644.5,37.59986702104145,600.0,632.75,682.25,725.0
1,tls,rebalance_time_ms,Consumer rebalance time ms,8,1291.25,1071.0,467.0539984841153,1042.0,1065.25,1197.5,2495.0
2,mtls,rebalance_time_ms,Consumer rebalance time ms,8,1008.75,992.0,78.48367664680345,923.0,940.5,1050.25,1152.0
2,plaintext,rebalance_time_ms,Consumer rebalance time ms,8,642.25,642.0,21.42282661088401,606.0,629.5,659.5,674.0
2,tls,rebalance_time_ms,Consumer rebalance time ms,8,1113.75,1116.5,45.529523388676054,1056.0,1068.5,1149.75,1184.0
3,mtls,rebalance_time_ms,Consumer rebalance time ms,8,1035.625,1040.0,49.40631918084973,967.0,995.0,1063.25,1129.0
3,plaintext,rebalance_time_ms,Consumer rebalance time ms,8,662.875,659.5,45.57257261774893,576.0,644.25,697.5,731.0
3,tls,rebalance_time_ms,Consumer rebalance time ms,8,1087.625,1092.0,51.69849490072221,1014.0,1051.0,1109.0,1189.0
