comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,-25.186519870111237,-25.220673302373523,11.579804314947568,-41.17465644598467,-36.05935873845648,-14.2559328529581,-10.243896622112718
mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,24,27.05246478247727,15.926032232002381,37.02834075170133,-26.732040076742695,-4.069286927524207,55.397508499141225,110.32847951236032
mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,24,-17.926581629324847,-21.034548529405985,5.172026472757805,-23.848700429668245,-22.247440830634076,-12.96359717723808,-8.51217034520019
mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,24,1.3025122059588183,1.2859322025729765,0.5683918268061583,0.6686920652064623,0.7421723455282987,1.8396957719414937,2.0056328525290783
mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,24,2.1496981592409177,2.132461506769948,1.6394662453795048,0.4765044518073944,0.5110293245941795,3.7943155654338097,3.8244261412574874
mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,24,-21.829586953734267,-20.119061160442815,17.754937479867344,-58.99002894821486,-35.87357566415001,-5.4864944846421615,10.27790295929097
mtls,broker_cpu_percent_mean,Broker CPU mean %,24,-46.3442135219458,-45.61595330776032,21.418620488273934,-76.12711026937615,-66.45557517188209,-25.47732991382484,-22.564478842388702
mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,18,206.20325387789137,-33.497904168621645,628.7734957421133,-100.0,-85.71863174467582,30.75076775407186,2449.9999999999995
mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,24,3.7284272950526103,0.10308504769170992,8.634148996121548,-3.4061974537593085,0.019801624357970546,3.565735802244508,38.59019013882995
mtls,broker_memory_used_percent_mean,Broker memory %,24,24.334389081279046,27.5373986072173,17.53989249252697,3.0631280670584338,6.937786370155853,38.914902751761055,57.80100536248634
mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,24,1.708032435029934,1.6786160020581664,1.082977353763646,0.59715485655025,0.6264374159585826,2.782545383999773,2.8777442039533287
mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,24,1.5812407486129005,1.5471549256509773,0.8059851542925237,0.7500607306950228,0.778604084256036,2.3610801723260493,2.509125411486357
mtls,data_consumed_mb,Data consumed MB,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtls,fetch_time_ms,Consumer fetch time ms,24,69.09988458890189,31.545109611366755,59.95489395564028,11.042087851497886,19.80120771663282,113.71985683932587,204.50680272108843
mtls,rebalance_time_ms,Consumer rebalance time ms,24,55.36910648992508,55.133372788005786,11.764033164902314,34.06292749658002,46.71373343107157,64.87070376432078,73.49397590361446
mtls,records_consumed,records consumed,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtls,throughput_mb_per_sec,Throughput MB/s,24,31.813110646022256,25.55145957712724,16.516432469601728,11.11110794171752,16.986533316396628,48.05807258860123,59.72239910700239
mtls,throughput_records_per_sec,Throughput records/s,24,31.813112805363676,25.55141756050012,16.51644315428224,11.111112039644437,16.98653096354231,48.05798830714638,59.72252815295567
tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,-4.464291620347413,-2.5489601409557494,15.200672665128883,-70.40288817461415,-5.2678567824911315,-0.8398616491566431,24.173302255799676
