benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext,rank_type
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,tls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,tls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,records_consumed,records consumed,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,records_consumed,records consumed,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-59.14088471045553,59.14088471045553,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-58.67254338761203,58.67254338761203,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-54.560906548206,54.560906548206,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,throughput_records_per_sec,Throughput records/s,-53.6375157500677,53.6375157500677,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-51.83080804622261,51.83080804622261,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-51.593918637401174,51.593918637401174,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-49.31581832482255,49.31581832482255,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-45.52585709095366,45.52585709095366,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-44.64522981376572,44.64522981376572,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-43.525519877460304,43.525519877460304,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-24.07096668158571,24.07096668158571,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-25.83782705877103,25.83782705877103,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-25.84672592305221,25.84672592305221,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-25.92865812708616,25.92865812708616,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-26.507137027479022,26.507137027479022,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-26.7717952466218,26.7717952466218,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-28.565883513062456,28.565883513062456,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-28.64554937644937,28.64554937644937,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,1,tls,throughput_records_per_sec,Throughput records/s,-29.13478198523765,29.13478198523765,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-29.237092958966542,29.237092958966542,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,throughput_records_per_sec,Throughput records/s,-59.72252815295567,59.72252815295567,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-55.780933055761054,55.780933055761054,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-53.42624865830011,53.42624865830011,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-52.77037040664273,52.77037040664273,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,throughput_records_per_sec,Throughput records/s,-50.88422537683407,50.88422537683407,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-48.5677503132927,48.5677503132927,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,throughput_records_per_sec,Throughput records/s,-47.88806763843094,47.88806763843094,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,throughput_records_per_sec,Throughput records/s,-46.27507165392192,46.27507165392192,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,throughput_records_per_sec,Throughput records/s,-44.031429306762526,44.031429306762526,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,throughput_records_per_sec,Throughput records/s,-39.17350702141588,39.17350702141588,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-11.111112039644437,11.111112039644437,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,1,mtls,throughput_records_per_sec,Throughput records/s,-13.538011894475858,13.538011894475858,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-13.670055572924605,13.670055572924605,lowest_penalty
