batch_size,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
16384,mtls,throughput_records_per_sec,Throughput records/s,864,2161.6376188981485,999.620144,2381.2715291759014,570.603699,997.4594075,2267.8359339999997,9980.03992
16384,plaintext,throughput_records_per_sec,Throughput records/s,864,2555.5471966909718,999.6115165,2828.1365748085764,623.419629,997.44248375,2896.435559,9976.057462
16384,tls,throughput_records_per_sec,Throughput records/s,864,2134.2329340497686,999.650122,2374.1838782420964,553.57196,997.0903545,2163.97417425,9977.052779
131072,mtls,throughput_records_per_sec,Throughput records/s,864,2551.823512074074,999.6340935000001,2758.1105630214115,596.449264,997.63863425,3635.676644,9979.044008
131072,plaintext,throughput_records_per_sec,Throughput records/s,864,3141.441060545139,999.660116,3378.911827354566,618.273229,997.8205665,5202.8330225,9976.057462
131072,tls,throughput_records_per_sec,Throughput records/s,864,2538.7938279131945,999.630137,2748.9556122559966,552.964662,997.3573805,3552.2354875,9979.044008
16384,mtls,throughput_mb_per_sec,Throughput MB/s,864,35.66564814814814,11.475000000000001,38.65108142917503,0.96,5.8575,69.7125,156.17
16384,plaintext,throughput_mb_per_sec,Throughput MB/s,864,38.702141203703704,13.379999999999999,40.51667893783199,0.96,8.7225,76.1325,179.72
16384,tls,throughput_mb_per_sec,Throughput MB/s,864,34.70275462962963,11.220000000000002,37.59017194563968,0.96,5.7524999999999995,65.69999999999999,155.78
131072,mtls,throughput_mb_per_sec,Throughput MB/s,864,39.02657407407407,11.930000000000001,39.67520052137329,0.96,6.762499999999999,72.63,157.86
131072,plaintext,throughput_mb_per_sec,Throughput MB/s,864,42.91594907407407,20.075,41.18764264604309,0.96,9.57,78.55499999999999,177.09
131072,tls,throughput_mb_per_sec,Throughput MB/s,864,38.07760416666667,14.91,38.4538492892813,0.96,6.705,71.12,158.7
16384,mtls,avg_latency_ms,Average latency ms,864,2156.0218819989586,690.54143755,2946.4149083789716,6.91,203.9970255,3985.1207271999992,12205.6751177
16384,plaintext,avg_latency_ms,Average latency ms,864,997.9594960201389,89.5890283,1874.891213436906,2.34,28.067883899999998,1340.82706035,9280.0909335
16384,tls,avg_latency_ms,Average latency ms,864,2208.9308682616897,614.9248818,3048.345615455023,6.28,179.168823425,4070.349352875,12935.0616501
