broker_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,mtls,throughput_records_per_sec,Throughput records/s,432,2380.5011869375003,999.6315685,2597.9814634576373,614.5846260000001,997.63863425,2705.6412422500002,9980.03992
3,plaintext,throughput_records_per_sec,Throughput records/s,432,2987.8183879560183,999.701665,3194.631544145552,760.043106,998.82018725,4520.32397925,9976.057462
3,tls,throughput_records_per_sec,Throughput records/s,432,2441.382881449074,999.687913,2662.278365848463,622.703111,997.73659275,2907.1492314999996,9979.044008
5,mtls,throughput_records_per_sec,Throughput records/s,1296,2348.8070250023147,999.630137,2579.2272682508656,570.603699,997.5189405,2553.33662525,9978.048294
5,plaintext,throughput_records_per_sec,Throughput records/s,1296,2802.0527088387344,999.610152,3106.0437052522757,618.273229,997.35336275,3849.90183375,9976.057462
5,tls,throughput_records_per_sec,Throughput records/s,1296,2301.5568808256176,999.6205554999999,2546.1272571271775,552.964662,997.10943975,2484.7069732500004,9976.057462
3,mtls,throughput_mb_per_sec,Throughput MB/s,432,37.57629629629629,12.335000000000003,39.1863674647048,0.96,6.49,72.10999999999999,157.2
3,plaintext,throughput_mb_per_sec,Throughput MB/s,432,44.99388888888889,16.47,44.94333986075697,0.96,9.5075,89.945,179.72
3,tls,throughput_mb_per_sec,Throughput MB/s,432,37.801064814814815,11.970000000000002,39.00004390163083,0.96,6.745,72.97,158.7
5,mtls,throughput_mb_per_sec,Throughput MB/s,1296,37.269382716049385,11.475,39.20760574664554,0.96,6.227500000000001,71.2525,157.86
5,plaintext,throughput_mb_per_sec,Throughput MB/s,1296,39.41409722222222,13.379999999999999,39.37235993445718,0.96,9.4775,73.88749999999999,154.05
5,tls,throughput_mb_per_sec,Throughput MB/s,1296,35.919884259259256,11.219999999999999,37.73226364349918,0.96,6.1274999999999995,67.01249999999999,152.8
3,mtls,avg_latency_ms,Average latency ms,432,1716.8148308817129,454.5555713,2459.2865140749564,6.73,151.62634735,2119.5212603499995,10415.940209
3,plaintext,avg_latency_ms,Average latency ms,432,434.4145282726852,46.946241650000005,1107.7198764887055,3.05,16.1675,136.76377837500002,6540.4745298
3,tls,avg_latency_ms,Average latency ms,432,1591.3128255953704,378.50461025000004,2353.565798642433,5.52,114.5325,1734.85949185,11238.5836373
5,mtls,avg_latency_ms,Average latency ms,1296,1877.159244404707,481.745,2725.658196342826,6.04,158.170342,2453.123956675,12418.1422486
5,plaintext,avg_latency_ms,Average latency ms,1296,571.7426277597993,65.6676159,1489.70087614475,2.34,17.0125,164.67947025,9280.0909335
5,tls,avg_latency_ms,Average latency ms,1296,1950.9836635672068,516.9811464500001,2824.788742326023,5.88,142.36,2490.9536393,12935.0616501
3,mtls,max_latency_ms,Maximum latency ms,432,10291.523148148148,9546.0,7623.901991338703,1075.0,1453.5,19205.5,24885.0
3,plaintext,max_latency_ms,Maximum latency ms,432,4844.388888888889,4547.0,3481.504174399052,472.0,825.0,7707.75,12627.0
3,tls,max_latency_ms,Maximum latency ms,432,8660.569444444445,8123.5,6358.94182029378,924.0,1236.0,15926.0,21110.0
5,mtls,max_latency_ms,Maximum latency ms,1296,10076.138888888889,9408.5,7455.965493418221,1032.0,1456.5,18397.75,32187.0
5,plaintext,max_latency_ms,Maximum latency ms,1296,5509.8418209876545,5133.5,4055.4249406833355,524.0,763.0,9915.5,15492.0
5,tls,max_latency_ms,Maximum latency ms,1296,9839.554783950618,9254.5,7294.436561099994,958.0,1409.75,17828.5,25204.0
3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,1292.6155921944444,240.1162915,2541.5376854529563,50.598708,123.41936675,999.7025885,9980.03992
3,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,1435.5410156319444,399.9308975,2702.5327570223662,63.061427,151.42750725000002,999.770053,9976.057462
3,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,1308.5828129722224,251.23136800000003,2565.4363516522976,51.312047,123.99749475,999.750062,9979.044008
5,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,1283.5904286712964,224.2839295,2537.0406931832367,46.860941,121.00382825,999.7025885,9978.048294
5,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,1359.2824082114198,357.903611,2584.709949659538,50.812735,122.59756475,999.720078,9976.057462
5,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,1258.9549454498456,230.059672,2503.9991462667263,45.522584,112.90604975,999.680102,9976.057462
3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,1300.7540726273146,264.50170049999997,2539.5569241128696,52.217014,125.10962125,999.7225767499999,9980.03992
3,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,1444.5038713472222,438.3435005,2700.9395133858025,63.760597,152.72018875,999.770053,9976.057462
3,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,1316.0158827314813,277.575493,2563.602157128784,52.444758,125.24871,999.752561,9979.044008
5,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,1291.2064763117282,246.8425195,2535.1001021525612,48.559757,123.384529,999.720078,9978.048294
