compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
lz4,mtls,throughput_records_per_sec,Throughput records/s,864,2287.3607129999996,999.626976,2531.9562436265637,570.603699,997.49672775,2338.0392675000003,9978.048294
lz4,plaintext,throughput_records_per_sec,Throughput records/s,864,2724.6886527754627,999.6305235,3033.247287486874,618.273229,997.365693,3382.014909,9976.057462
lz4,tls,throughput_records_per_sec,Throughput records/s,864,2266.653652546296,999.636341,2524.9826736939635,552.964662,997.1745107500001,2447.30903125,9979.044008
none,mtls,throughput_records_per_sec,Throughput records/s,864,2426.1004179722217,999.6306655000001,2633.1205283130016,681.010483,997.55598825,2615.6690427500002,9980.03992
none,plaintext,throughput_records_per_sec,Throughput records/s,864,2972.2996044606484,999.650122,3218.0417545323803,758.371745,997.7224395,4123.424991,9976.057462
none,tls,throughput_records_per_sec,Throughput records/s,864,2406.3731094166665,999.648698,2624.889052609922,659.567786,997.1991780000001,2769.64289375,9975.062344
lz4,mtls,throughput_mb_per_sec,Throughput MB/s,864,35.048599537037035,11.475000000000001,36.17535601589384,0.96,6.182500000000001,62.765,123.73
lz4,plaintext,throughput_mb_per_sec,Throughput MB/s,864,37.644930555555554,13.379999999999999,37.14892678269843,0.96,9.309999999999999,70.59,137.48
lz4,tls,throughput_mb_per_sec,Throughput MB/s,864,34.09847222222222,11.22,35.09418259245486,0.96,6.1274999999999995,62.2325,122.15
none,mtls,throughput_mb_per_sec,Throughput MB/s,864,39.64362268518518,11.600000000000001,41.886298975357136,0.96,6.260000000000001,74.67750000000001,157.86
none,plaintext,throughput_mb_per_sec,Throughput MB/s,864,43.97315972222222,15.135000000000002,44.12295620167,0.96,9.5175,86.1725,179.72
none,tls,throughput_mb_per_sec,Throughput MB/s,864,38.68188657407407,12.095000000000002,40.68548710991911,0.96,6.4275,74.2,158.7
lz4,mtls,avg_latency_ms,Average latency ms,864,1850.7568752733798,481.745,2719.408685434866,6.04,153.2956059,2418.3027206,12418.1422486
lz4,plaintext,avg_latency_ms,Average latency ms,864,565.5796145344907,49.525000000000006,1512.5822849181075,2.34,16.314999999999998,135.39420575000003,9280.0909335
lz4,tls,avg_latency_ms,Average latency ms,864,1877.9259454042822,491.9213067,2785.7984376317727,5.97,129.6142602,2387.465438175,12935.0616501
none,mtls,avg_latency_ms,Average latency ms,864,1823.3894067745368,463.14435635,2604.217208800492,6.16,157.71851272499998,2622.3736963750002,12205.6751177
