min_insync_replicas,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,mtls,throughput_records_per_sec,Throughput records/s,1296,2384.2836856026233,999.636565,2603.266462572651,597.877607,997.6784235,2705.6412422500002,9980.03992
3,plaintext,throughput_records_per_sec,Throughput records/s,1296,2881.3843118665127,999.660116,3153.0165344300403,619.749562,997.7898735,4015.908726,9976.057462
3,tls,throughput_records_per_sec,Throughput records/s,1296,2360.9757268495373,999.6536880000001,2596.0256983348863,552.964662,997.3253365,2623.37269475,9979.044008
4,mtls,throughput_records_per_sec,Throughput records/s,432,2274.071205136574,999.60016,2523.371169617562,570.603699,997.25634825,2299.1022345,9977.052779
4,plaintext,throughput_records_per_sec,Throughput records/s,432,2749.823578872685,999.530221,3055.5775061840623,618.273229,997.1458142500001,3351.1881067500003,9970.089731
4,tls,throughput_records_per_sec,Throughput records/s,432,2263.1263433773147,999.590168,2515.045218863987,557.409607,997.100317,2469.4817209999997,9975.062344
3,mtls,throughput_mb_per_sec,Throughput MB/s,1296,37.7812037037037,11.650000000000002,39.585543146135485,0.96,6.260000000000001,72.24249999999999,157.86
3,plaintext,throughput_mb_per_sec,Throughput MB/s,1296,41.45608024691358,13.695,41.51357400616291,0.96,9.49,78.14,179.72
3,tls,throughput_mb_per_sec,Throughput MB/s,1296,36.8639737654321,11.220000000000002,38.57944227275029,0.96,6.3375,70.9375,158.7
4,mtls,throughput_mb_per_sec,Throughput MB/s,432,36.04083333333333,11.475,38.00044396975051,0.96,6.1125,69.67,152.75
4,plaintext,throughput_mb_per_sec,Throughput MB/s,432,38.86793981481481,13.379999999999999,38.96983706765671,0.96,9.34,73.055,152.17
4,tls,throughput_mb_per_sec,Throughput MB/s,432,34.9687962962963,11.35,36.42821491741829,0.96,6.065,66.0325,142.65
3,mtls,avg_latency_ms,Average latency ms,1296,1783.791990024614,458.79841969999995,2582.433455411925,6.28,151.00948137499998,2208.341663875,12095.211133399998
3,plaintext,avg_latency_ms,Average latency ms,1296,514.6989965277006,51.291694500000006,1351.7454015268827,2.34,15.580004825,152.77329014999998,8958.9539946
3,tls,avg_latency_ms,Average latency ms,1296,1811.694805617978,450.91447044999995,2662.7833375850732,5.52,124.645036075,2429.9716034,12935.0616501
4,mtls,avg_latency_ms,Average latency ms,432,1996.916594021991,555.5539348,2883.4105654381506,6.04,182.34886649999999,2609.036921075,12418.1422486
4,plaintext,avg_latency_ms,Average latency ms,432,605.5454219689815,72.0454737,1552.7321033263288,4.11,19.764164775,184.056725075,9280.0909335
