producer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,mtls,throughput_records_per_sec,Throughput records/s,576,3379.8855104722224,1009.3608979999999,3549.874053187047,928.668939,999.650122,6158.3387155,9980.03992
1,plaintext,throughput_records_per_sec,Throughput records/s,576,3488.6444769322916,999.805038,3672.913630108843,945.420854,999.650122,7100.7598885,9976.057462
1,tls,throughput_records_per_sec,Throughput records/s,576,3340.862485720486,999.780048,3531.837609003515,993.581464,999.650122,6241.5282675,9979.044008
6,mtls,throughput_records_per_sec,Throughput records/s,576,2165.0704833454856,999.5382915,2078.107344444583,672.69841,872.8292832500001,2730.6521142500005,7223.862306
6,plaintext,throughput_records_per_sec,Throughput records/s,576,2853.1226778402774,999.520209,3173.26289264308,682.790724,912.6820305,4165.20867875,9873.386857
6,tls,throughput_records_per_sec,Throughput records/s,576,2138.9744824548607,999.533687,2076.7869750033215,655.995935,840.30125875,2890.5252195,7545.719666999999
12,mtls,throughput_records_per_sec,Throughput records/s,576,1525.235702640625,997.9021725,1155.6498040915706,570.603699,733.48075275,1803.0476915,4470.116768000001
12,plaintext,throughput_records_per_sec,Throughput records/s,576,2203.715231081597,997.8936209999999,2234.9743869446006,618.273229,810.69382675,3079.9470635,8368.962988
12,tls,throughput_records_per_sec,Throughput records/s,576,1529.7031747690971,997.6879875,1194.742114866461,552.964662,705.1294545000001,1938.93019425,4899.982829
1,mtls,throughput_mb_per_sec,Throughput MB/s,576,50.66463541666667,15.829999999999998,49.424713547395285,0.98,9.73,97.62,157.86
1,plaintext,throughput_mb_per_sec,Throughput MB/s,576,52.160572916666666,18.4,50.69424443948072,0.98,9.72,97.62,179.72
1,tls,throughput_mb_per_sec,Throughput MB/s,576,49.55644097222222,16.695,48.11398010201331,0.98,9.73,97.61,158.7
6,mtls,throughput_mb_per_sec,Throughput MB/s,576,33.88920138888889,14.24,33.181442919549646,0.96,6.227500000000001,72.60499999999999,89.11
6,plaintext,throughput_mb_per_sec,Throughput MB/s,576,37.681145833333325,16.19,35.234781295236914,0.96,9.4775,72.945,107.03
6,tls,throughput_mb_per_sec,Throughput MB/s,576,32.817569444444445,13.790000000000001,31.975102331226395,0.96,6.2175,68.86,87.62
12,mtls,throughput_mb_per_sec,Throughput MB/s,576,27.48449652777778,11.475000000000001,27.93059425133355,0.96,3.7975,60.535,74.95
12,plaintext,throughput_mb_per_sec,Throughput MB/s,576,32.58541666666666,13.379999999999999,31.665228034755337,0.96,6.4275,63.595,96.33
12,tls,throughput_mb_per_sec,Throughput MB/s,576,26.796527777777776,11.220000000000002,27.029745608604884,0.96,3.9075,57.065,74.66
1,mtls,avg_latency_ms,Average latency ms,576,111.74083333333334,26.32,150.1600814882885,6.04,13.5475,183.17000000000002,869.06
1,plaintext,avg_latency_ms,Average latency ms,576,47.75826388888889,7.869999999999999,126.6500354930416,2.34,5.42,19.595,704.18
1,tls,avg_latency_ms,Average latency ms,576,114.01628472222222,30.475,154.32370669023402,5.52,13.5625,172.565,803.11
6,mtls,avg_latency_ms,Average latency ms,576,1616.8443477517362,444.75863705,1795.4247479404496,124.1832824,269.00027572499994,3405.711482125,5889.058169700001
6,plaintext,avg_latency_ms,Average latency ms,576,487.391342688368,43.801664849999995,973.269867679643,12.8966867,28.138777225000002,223.04376002499998,4093.1188081
6,tls,avg_latency_ms,Average latency ms,576,1664.8921562913192,460.42078105,1857.4504955282139,90.7097661,280.9285921,3397.944447125,5993.766819300001
12,mtls,avg_latency_ms,Average latency ms,576,3782.6342419868056,1731.6559128,3348.0859712348015,509.6852994,1044.9256954,6451.12367485,12418.1422486
12,plaintext,avg_latency_ms,Average latency ms,576,1077.0822020868056,125.6871646,2104.117159178217,40.5673971,81.494608,571.994431075,9280.0909335
12,tls,avg_latency_ms,Average latency ms,576,3804.289421209202,1688.02363385,3440.9619534131893,369.5078294000001,1080.0323975000001,6365.931474925,12935.0616501
1,mtls,max_latency_ms,Maximum latency ms,576,1383.9270833333333,1373.5,172.9510253891538,1032.0,1282.0,1455.0,2397.0
1,plaintext,max_latency_ms,Maximum latency ms,576,813.6979166666666,687.0,477.56349824580485,472.0,635.75,767.0,6026.0
1,tls,max_latency_ms,Maximum latency ms,576,1283.5034722222222,1269.0,175.44423770389048,924.0,1158.0,1387.25,2239.0
6,mtls,max_latency_ms,Maximum latency ms,576,9452.196180555555,9434.5,714.3116233085846,7460.0,9017.5,9894.0,13287.0
6,plaintext,max_latency_ms,Maximum latency ms,576,5043.994791666667,5072.0,643.526850461222,3585.0,4765.75,5355.75,7713.0
6,tls,max_latency_ms,Maximum latency ms,576,8967.918402777777,8971.0,873.797800279017,7026.0,8309.0,9580.5,13359.0
12,mtls,max_latency_ms,Maximum latency ms,576,19553.831597222223,19545.0,1548.4635612309219,15862.0,18564.75,20356.0,32187.0
12,plaintext,max_latency_ms,Maximum latency ms,576,10172.743055555555,10207.0,1331.0568365156719,7259.0,9716.75,10741.25,15492.0
