record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1024,mtls,throughput_records_per_sec,Throughput records/s,576,3878.211333079861,2040.56015,3384.356086367313,997.348322,999.528751,6366.441849000001,9980.03992
1024,plaintext,throughput_records_per_sec,Throughput records/s,576,4835.38416827257,3011.7322725,3996.133635009353,996.927537,999.464401,9684.6306575,9976.057462
1024,tls,throughput_records_per_sec,Throughput records/s,576,3886.380596151042,2123.6566705,3385.2004630508,996.607023,999.584115,6373.6884549999995,9979.044008
10240,mtls,throughput_records_per_sec,Throughput records/s,576,2314.969183486111,1174.535043,2003.468072934306,996.389097,999.471897,2571.3528017500003,9207.255317
10240,plaintext,throughput_records_per_sec,Throughput records/s,576,2783.102371390625,1370.3546529999999,2390.5825236018595,996.198826,999.3862395,3975.68629425,9968.102073
10240,tls,throughput_records_per_sec,Throughput records/s,576,2271.219614713542,1148.8326279999999,1946.4725996701154,995.853155,999.43208425,2623.37269475,9074.410163
102400,mtls,throughput_records_per_sec,Throughput records/s,576,877.0111798923613,803.561279,238.02961120712624,570.603699,721.990766,999.592666,1616.475114
102400,plaintext,throughput_records_per_sec,Throughput records/s,576,926.9958461909723,892.155044,228.96191172501943,618.273229,774.3689765,999.670109,1840.298865
102400,tls,throughput_records_per_sec,Throughput records/s,576,851.9399320798611,777.4834265,233.1597400064474,552.964662,681.0888985,999.570185,1625.091411
1024,mtls,throughput_mb_per_sec,Throughput MB/s,576,3.7830208333333335,1.9949999999999999,3.308817120313101,0.96,0.96,6.2225,9.75
1024,plaintext,throughput_mb_per_sec,Throughput MB/s,576,4.717569444444444,2.9450000000000003,3.9067167937142027,0.96,0.96,9.4525,9.74
1024,tls,throughput_mb_per_sec,Throughput MB/s,576,3.7905381944444443,2.0700000000000003,3.3096623939211125,0.96,0.96,6.2125,9.75
10240,mtls,throughput_mb_per_sec,Throughput MB/s,576,22.60953125,11.475000000000001,19.563656833626084,9.76,9.76,25.1075,89.91
10240,plaintext,throughput_mb_per_sec,Throughput MB/s,576,27.181909722222226,13.379999999999999,23.34355211872494,9.75,9.76,38.832499999999996,97.34
10240,tls,throughput_mb_per_sec,Throughput MB/s,576,22.182899305555555,11.220000000000002,19.00645332923866,9.76,9.76,25.6175,88.62
102400,mtls,throughput_mb_per_sec,Throughput MB/s,576,85.64578125,78.47,23.24483653268646,55.73,70.505,97.62,157.86
102400,plaintext,throughput_mb_per_sec,Throughput MB/s,576,90.52765624999999,87.125,22.359210876054895,60.38,75.6225,97.62,179.72
