replication_factor,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,mtls,throughput_records_per_sec,Throughput records/s,864,2399.0524305497684,999.650122,2613.4753569263517,602.657104,997.74245675,2705.6412422500002,9980.03992
3,plaintext,throughput_records_per_sec,Throughput records/s,864,2925.452176304398,999.680102,3174.478992529465,643.51628,998.1379400000001,4149.14703775,9976.057462
3,tls,throughput_records_per_sec,Throughput records/s,864,2390.3304894502317,999.660116,2606.8149274402213,590.013264,997.5224145,2907.1492314999996,9979.044008
5,mtls,throughput_records_per_sec,Throughput records/s,864,2314.4087004224534,999.6078265,2553.412377064174,570.603699,997.378628,2512.8719582500003,9978.048294
5,plaintext,throughput_records_per_sec,Throughput records/s,864,2771.536080931713,999.580176,3081.862338982595,618.273229,997.205509,3428.74010575,9974.067425
5,tls,throughput_records_per_sec,Throughput records/s,864,2282.6962725127314,999.6098815,2544.4182392105213,552.964662,997.07196075,2372.5315235,9976.057462
3,mtls,throughput_mb_per_sec,Throughput MB/s,864,38.10229166666667,11.650000000000002,40.04278406439659,0.96,6.4350000000000005,72.62,157.32
3,plaintext,throughput_mb_per_sec,Throughput MB/s,864,42.75206018518519,13.975000000000001,42.885196807830766,0.96,9.5125,81.4025,179.72
3,tls,throughput_mb_per_sec,Throughput MB/s,864,37.79672453703704,11.920000000000002,39.533861406652605,0.96,6.32,72.3125,158.7
5,mtls,throughput_mb_per_sec,Throughput MB/s,864,36.589930555555554,11.475,38.32893645671094,0.96,6.13,70.21249999999999,157.86
5,plaintext,throughput_mb_per_sec,Throughput MB/s,864,38.866030092592595,13.379999999999999,38.73255151790361,0.96,9.4175,72.845,152.17
5,tls,throughput_mb_per_sec,Throughput MB/s,864,34.98363425925926,11.219999999999999,36.47645021912708,0.96,6.155,66.01249999999999,142.65
3,mtls,avg_latency_ms,Average latency ms,864,1744.6043792166665,451.83973345000004,2535.3346168868306,6.28,138.566332275,2119.5212603499995,12095.211133399998
3,plaintext,avg_latency_ms,Average latency ms,864,486.0861443464121,47.292110300000004,1281.6096697656574,2.34,14.468331800000001,144.164046275,8691.012374
3,tls,avg_latency_ms,Average latency ms,864,1742.7341215774304,423.16853525,2572.1645891034714,5.52,117.42380907500001,2300.0684315999997,11535.4886762
5,mtls,avg_latency_ms,Average latency ms,864,1929.5419028312501,522.86059785,2780.7342186538053,6.04,177.445,2475.5017890500003,12418.1422486
