security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
mtls,throughput_records_per_sec,Throughput records/s,1728,2356.730565486111,999.630137,2583.9650238664967,570.603699,997.54657225,2571.3528017500003,9980.03992
plaintext,throughput_records_per_sec,Throughput records/s,1728,2848.494128618055,999.64013,3129.459812224591,618.273229,997.5685105,3975.68629425,9976.057462
tls,throughput_records_per_sec,Throughput records/s,1728,2336.5133809814815,999.6405715000001,2576.3676760392927,552.964662,997.19242075,2623.37269475,9979.044008
mtls,throughput_mb_per_sec,Throughput MB/s,1728,37.346111111111114,11.475000000000001,39.20252251830026,0.96,6.227500000000001,71.51750000000001,157.86
plaintext,throughput_mb_per_sec,Throughput MB/s,1728,40.80904513888889,13.379999999999999,40.907830957371125,0.96,9.4775,77.1075,179.72
tls,throughput_mb_per_sec,Throughput MB/s,1728,36.39017939814815,11.220000000000002,38.061886164274206,0.96,6.2175,67.8875,158.7
mtls,avg_latency_ms,Average latency ms,1728,1837.0731410239584,473.58696375,2662.471160237912,6.04,156.36647762500002,2437.5891326250003,12418.1422486
plaintext,avg_latency_ms,Average latency ms,1728,537.4106028880209,55.67961055,1405.2414099638734,2.34,16.70041655,157.253428175,9280.0909335
tls,avg_latency_ms,Average latency ms,1728,1861.0659540742477,484.21279695,2719.126174831743,5.52,129.62514249999998,2429.9716034,12935.0616501
mtls,max_latency_ms,Maximum latency ms,1728,10129.984953703704,9434.5,7498.88222795605,1032.0,1455.0,18550.25,32187.0
plaintext,max_latency_ms,Maximum latency ms,1728,5343.478587962963,5074.0,3930.407306136874,472.0,767.0,9716.25,15492.0
tls,max_latency_ms,Maximum latency ms,1728,9544.808449074075,8971.0,7090.575789889985,924.0,1387.75,17072.75,25204.0
mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1728,1285.8467195520834,224.2839295,2538.1686967852957,46.860941,121.847626,999.7025885,9980.03992
plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1728,1378.3470600665507,389.565538,2614.8719569890145,50.812735,124.113302,999.730073,9976.057462
tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1728,1271.3619123304397,232.690696,2519.590544206471,45.522584,114.00297175,999.70009,9979.044008
mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1728,1293.5933753906252,246.8425195,2536.218411437487,48.559757,124.17555725,999.720078,9980.03992
plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1728,1388.3179014207178,407.0444445,2613.0577466368086,52.335732,125.75487625,999.730073,9976.057462
tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1728,1279.4357043385417,258.1879635,2517.5707934446323,46.943834,116.7319715,999.710084,9979.044008
mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1728,1612.5303877314814,420.81,2390.929469552201,6.04,135.56,1975.2325,11795.72
plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,1728,483.6380729166667,45.224999999999994,1333.9885975162622,2.34,14.4925,131.92000000000002,9049.27
