throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,mtls,throughput_records_per_sec,Throughput records/s,864,940.779620537037,999.32376,116.90433842822678,570.603699,997.3199292500001,999.610152,999.790044
1000,plaintext,throughput_records_per_sec,Throughput records/s,864,956.3262682337963,999.303579,94.75802100565737,625.938473,997.2117575,999.610152,999.810036
1000,tls,throughput_records_per_sec,Throughput records/s,864,935.7655782604168,999.350422,126.10997093979921,552.964662,996.979367,999.630137,999.780048
10000,mtls,throughput_records_per_sec,Throughput records/s,864,3772.681510435185,2573.1344645,3054.5457449157766,596.449264,1163.1125255000002,6055.187249250001,9980.03992
10000,plaintext,throughput_records_per_sec,Throughput records/s,864,4740.661989002315,3975.9393695,3523.8416432028184,618.273229,1188.7607667500001,8343.54139725,9976.057462
10000,tls,throughput_records_per_sec,Throughput records/s,864,3737.2611837025465,2633.5432315,3055.363851631093,557.409607,1107.3542077500001,5962.4803785,9979.044008
1000,mtls,throughput_mb_per_sec,Throughput MB/s,864,30.40994212962963,9.76,36.513525828101415,0.96,0.98,70.1025,97.63
1000,plaintext,throughput_mb_per_sec,Throughput MB/s,864,31.930011574074072,9.76,38.41118393178649,0.96,0.98,75.5575,97.63
1000,tls,throughput_mb_per_sec,Throughput MB/s,864,29.92521990740741,9.76,35.98693310242354,0.96,0.98,66.3425,97.63
10000,mtls,throughput_mb_per_sec,Throughput MB/s,864,44.28228009259259,25.125,40.54894690268686,3.01,9.72,72.3075,157.86
10000,plaintext,throughput_mb_per_sec,Throughput MB/s,864,49.6880787037037,38.835,41.39816109613994,4.91,9.71,78.86999999999999,179.72
10000,tls,throughput_mb_per_sec,Throughput MB/s,864,42.85513888888889,25.715,38.97131766071288,3.16,9.72,70.81,158.7
1000,mtls,avg_latency_ms,Average latency ms,864,770.6592430163195,327.64572205,1210.2463863200062,6.04,21.2675,1004.70967225,6997.556410699999
1000,plaintext,avg_latency_ms,Average latency ms,864,132.53289850821758,30.34330405,327.11069348685464,2.34,8.0075,88.61962395,2232.2032404
1000,tls,avg_latency_ms,Average latency ms,864,775.5665938533565,327.99679285,1272.8542516935338,5.52,20.9825,1010.97917575,6978.4113327
10000,mtls,avg_latency_ms,Average latency ms,864,2903.4870390315973,1233.0839905,3230.840732513582,8.42,247.315,5118.344053049999,12418.1422486
10000,plaintext,avg_latency_ms,Average latency ms,864,942.288307267824,107.04322905,1874.7142512269274,2.75,33.2479886,482.14440252500003,9280.0909335
10000,tls,avg_latency_ms,Average latency ms,864,2946.565314295139,1286.55770415,3287.9353158442727,8.84,258.625608075,5124.041076025,12935.0616501
