replication_factor,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
3,mtls,avg_latency_ms,Average latency ms,864,1067.1061471250084,609.2976076863565,1279.3753226406484,-21.76277763894809,164.8331887747738,1552.8661294321405,8222.997076813586
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,3.81004287348712,0.16878208795346744,161.62665259848316,-59.16925416385725,-3.4507639936456367,3.3487735849746167,4714.106222806124
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,13,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,21.37492335388183,8.844310854286288,70.14292144945402,-94.29667651786178,-7.974923567836678,36.3163403584652,1057.1449067431852
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,4.508837210570037,3.0980923163118215,17.884337844783925,-25.706185743074762,-5.323483549607423,15.368025145727255,302.51390474285813
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,35.49842887041035,28.218666640830726,38.58405093418669,-18.749982783902627,20.148541447798703,39.079156592037776,272.1474373989027
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,2.406370036836309,0.5529911943911356,3.8967525066461786,0.18248726156915734,0.4445870256225171,2.043026977222195,15.31406696694103
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,862,-10.100178070375886,-13.416241005611795,23.420651107531953,-70.40121546339542,-27.480633549315467,3.9093195737328488,72.72947836635663
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,862,-26.394123241695663,-36.27793504206491,36.19705701246731,-83.64753262644447,-54.24827346032494,-5.5837763588219325,63.660934247781654
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,345,613.360116912169,-30.526949713941587,10264.50010997549,-100.0,-52.859100535692036,-2.1877205363443855,189736.0
3,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,345,613.360116912169,-30.52694971394158,10264.50010997549,-100.0,-52.859100535692036,-2.18772053634439,189736.0
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,862,2.6870321626183014,0.19005281596231416,33.22333876402335,-80.74083022514836,-4.134482338357056,4.956110460957026,297.19367826452736
3,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,862,2.6870321626183014,0.19005281596231727,33.22333876402335,-80.74083022514836,-4.134482338357071,4.956110460957032,297.19367826452736
3,mtls,broker_memory_used_percent_mean,Broker memory %,862,-0.5854743600922881,0.3601950193368105,4.532892070758768,-46.19869961847966,-2.668335887233396,1.8721071601156993,5.031157533392004
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,862,1.903860598953982,0.6566461123289367,2.633922434326173,-0.004913110548934877,0.603362249182655,1.5947379828966954,12.338754903940611
3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,862,1.903860598953982,0.6566461123289367,2.6339224343261725,-0.004913110548934877,0.6033622491826627,1.5947379828966954,12.338754903940618
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,862,2.1589242929029395,0.8585993532565747,2.9406790298413927,-0.4353950053867189,0.7990472256787297,1.6375379672106163,21.962632267418904
3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,862,2.1589242929029404,0.858599353256573,2.9406790298413927,-0.4353950053867189,0.7990472256787222,1.637537967210615,21.962632267418922
3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,1162.7434802989019,317.5084612899892,1924.1980175903598,-58.78039603271405,95.20859557018672,1434.2353434439751,11277.394136807818
3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,890.3941186405929,218.2427674786913,1317.9193756528314,-82.16071658411711,87.36759910844998,1163.478521202356,10788.682018618325
3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,227.38635513556048,110.69247014912317,307.17194147497156,-71.89466523045523,73.95435635606324,250.26257387502363,3041.7113402061814
3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,98.69273734519686,92.39832671920807,38.45302217363517,-72.18178509689747,78.84100168818324,118.63417927290871,227.93956259308618
3,mtls,max_latency_ms,Maximum latency ms,864,99.75063225249023,91.15952210103781,40.81254078479635,-72.24409448818898,77.01088048855905,123.87739315672735,227.96116504854368
3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1034.141918684832,576.1134907612582,1275.486447838245,-21.76277763894809,160.45343434772894,1425.1443263303654,8594.298139647259
3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1114.162260626183,640.3608507673495,1320.196946226904,-21.76277763894809,171.93748104404807,1523.992895681512,7354.390855868413
3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,10.439010094764022,0.21292137681439194,14.541392552010318,-23.64891307070046,-0.0010015146549539778,19.650507807607163,53.68565657088523
3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,10.88523989706849,0.2427347593693456,14.833065255851029,-23.64891307070046,-0.010236499016952331,21.614763819554334,52.918581719109184
3,mtls,throughput_mb_per_sec,Throughput MB/s,864,10.733270415184567,0.15405686597685442,14.723731144688031,-23.629893238434168,0.0,21.14173183389012,51.69290489540652
3,mtls,throughput_records_per_sec,Throughput records/s,864,10.735148599043969,0.1799945979591842,14.724234183184615,-23.64891307070046,-0.005712425742908227,21.142073511477555,51.72516880792233
3,tls,avg_latency_ms,Average latency ms,864,1038.847878119408,530.3040736788205,1246.4037616522542,-20.869041144217896,164.30859399053497,1514.0860362921558,6954.148625292784
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,5.889866431798835,0.6934887566188066,157.78698937483415,-98.5112542775966,-1.8342225363916707,5.690329206788488,4603.499892392945
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,13,61.14706896690006,-100.0,557.6070765495725,-100.0,-100.0,-100.0,1992.7536231884058
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,25.439167087919987,2.922550145012573,418.3195163681017,-91.17713140111647,-13.224171493830235,19.578453273905083,12123.75919117647
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,9.301861276610238,6.227250897808678,15.893820370079734,-59.474340705611475,-0.2924665797919836,16.916388453964725,306.7734046208456
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,32.36913203612756,25.880350909403855,59.522411764807075,-12.626930735250031,16.7628130171224,37.20349481363724,1535.6386931622967
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,2.3789126526054862,0.55651575354424,5.082690113340179,0.07287558199494784,0.4500978996218807,2.0407740202619005,107.20478226705427
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,861,-1.8460710202803419,-3.7049721348734432,23.864911695639805,-68.66848887153456,-17.43429068755439,14.323467230443965,71.81419889763042
3,tls,broker_cpu_percent_mean,Broker CPU mean %,861,-14.723755525877204,-15.240512125537695,33.86543546103496,-83.52359766109423,-36.46318790669591,3.595894630959731,66.45381362220584
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,345,13.611855651487504,-19.665309013635568,379.35275668243787,-100.0,-45.71222242282,-0.48689138576779023,5940.073529411764
3,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,345,13.512908123003438,-19.82890527194325,379.3601173403641,-100.0,-45.712222422820005,-0.4869521787988513,5940.073529411765
3,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,861,4.527550372787666,-0.5418759290788422,103.68782645335772,-81.62053207367174,-5.396632544813274,2.92408469864554,2868.934815928461
3,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,861,4.487400676199697,-0.5573190795087618,103.69482913584771,-81.62053207367174,-5.397529969502068,2.895815783513052,2868.9348159284605
3,tls,broker_memory_used_percent_mean,Broker memory %,861,-1.1030360946581441,0.40644072114961055,4.969665943342565,-44.97872725289428,-1.3141293353879728,1.759671066954739,5.112722588606834
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,861,1.9748838590623559,0.6275007526275687,6.623281903260897,0.03456543058107323,0.5906562276405768,1.5581688731815673,181.75657423832382
3,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,861,1.9359283916919283,0.6275007526275687,6.728918504289997,-32.91868518812351,0.5902322128446373,1.5581688731815713,181.75657423832385
3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,861,2.1768945256930587,0.8294894853550351,6.705678648296449,-0.14774892882765017,0.768988433961205,1.6000805612335776,179.53519737688413
3,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,861,2.1379437356126414,0.8294894853550373,6.811237720377135,-32.92673948151973,0.768988433961205,1.600080561233572,179.53519737688416
3,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,1138.5844259111784,294.90040637645666,1864.656448966582,-69.14593196047119,89.66755297860342,1404.6678987032392,11501.852695520007
3,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,864.0000080588975,209.25420923885395,1277.8549990572265,-82.51558335883902,81.8458560500267,1167.210078932333,8332.253234948133
3,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,212.2920882164415,100.21633319289694,290.57925902793124,-76.95011913597125,61.038050311077015,217.9765268532929,2522.0250521920657
3,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,82.09670559057719,83.76103166522881,33.674176815714034,-78.20915542598257,61.01613316428492,105.08720321979983,188.83838882850839
3,tls,max_latency_ms,Maximum latency ms,864,81.24923741520176,81.84626176152202,34.17565185640823,-78.47660139395951,60.20805755964385,105.36587013604345,189.76377952755905
3,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1001.4733259303,493.6945055194463,1244.7463813755953,-20.869041144217896,155.23032056731876,1456.5593174915134,8131.988402995893
3,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1107.0352833643888,598.4425627683516,1304.639378021382,-20.869041144217896,173.33942266296725,1542.9344801037648,6494.531036368608
3,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,10.8781205194242,1.7659005500571525,14.271792263260267,-24.07268572643079,0.003004902159175456,19.512510993643325,55.49321335244159
3,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,11.284754859712457,2.282516585356606,14.533694606841816,-24.07268572643079,-0.001247640404670024,21.57923004356857,51.10625567875585
3,tls,throughput_mb_per_sec,Throughput MB/s,864,11.136160729348182,2.1127236570274617,14.425712915550704,-24.05693950177935,0.0,20.999090372466785,51.488833746898266
3,tls,throughput_records_per_sec,Throughput records/s,864,11.137303192100767,2.110988838309661,14.416688496035718,-24.07268572643079,0.0,21.004070547909624,51.34667555518689
5,mtls,avg_latency_ms,Average latency ms,864,848.5223107023913,555.2400965605514,912.6884134427833,-9.995743993894834,172.53621999847394,1153.0532863840776,5043.967476294827
5,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,-4.909612501813984,-0.25566419362055787,17.826431614129568,-95.7119233944934,-6.853561958561414,1.572044560121317,242.13168697487419
5,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,15,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
5,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,19.99926989041837,6.460730870179689,90.45608304653587,-95.55626662400256,-12.918158975810393,31.847799558016,1531.3777385678577
5,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,2.108092754926788,1.4785731395662507,13.129173441141068,-76.83337859139063,-8.122672132220671,11.568842075351203,35.75514204296636
5,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,38.61627091095722,27.471316425954257,52.203688290714325,-7.480605996621621,18.253177491243605,41.7667531547019,921.9783832552105
5,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,2.5345990889763117,0.7537618437499523,5.240251723050006,-20.566594373433677,0.4678987904273171,2.04079884297858,100.90321716795249
5,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,-6.616528557177651,-4.525853755385665,18.593355215384527,-60.722967497974246,-20.44914097883769,6.539445174409877,39.360124302563726
5,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,-28.43839160775428,-29.53661382916006,23.974732797570404,-86.07757884822443,-47.48278079362852,-6.610515486584368,47.605673277698024
5,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,381,24608.57402656165,-35.94940347851085,479639.37628304865,-100.0,-85.27421652421653,4.023819651212246,9374500.0
5,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,381,24608.57402656165,-35.94940347851085,479639.37628304865,-100.0,-85.27421652421653,4.02381965121225,9374500.0
5,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6.0914214336299,0.37728384369298,26.57213391595412,-68.68170648338044,-2.9402664760267,6.066649431144375,237.80795594688394
