benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext,rank_type
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-51.34667555518689,51.34667555518689,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-50.282705494321455,50.282705494321455,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,1,none,2,tls,throughput_records_per_sec,Throughput records/s,-50.01742907505995,50.01742907505995,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-49.83126958236615,49.83126958236615,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,all,lz4,1,tls,throughput_records_per_sec,Throughput records/s,-49.65143271325991,49.65143271325991,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,1,none,1,tls,throughput_records_per_sec,Throughput records/s,-49.527811521491216,49.527811521491216,highest_penalty
producer,3,6,3,3,100000,10240,10000,12,1,131072,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-49.455666573037846,49.455666573037846,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,1,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-49.20114376495536,49.20114376495536,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,1,none,3,tls,throughput_records_per_sec,Throughput records/s,-49.11195869090579,49.11195869090579,highest_penalty
producer,5,6,3,3,100000,1024,10000,12,1,131072,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-49.026674629406244,49.026674629406244,highest_penalty
producer,3,6,3,3,100000,10240,10000,1,1,16384,5,all,lz4,1,tls,throughput_records_per_sec,Throughput records/s,24.07268572643079,-24.07268572643079,lowest_penalty
producer,3,6,3,3,100000,10240,10000,1,1,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,23.100555794444233,-23.100555794444233,lowest_penalty
