4992 records sent, 998.2 records/sec (0.97 MB/sec), 77.5 ms avg latency, 832.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 9.6 ms avg latency, 44.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 8.5 ms avg latency, 47.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 7.4 ms avg latency, 22.0 ms max latency.
5000 records sent, 998.4 records/sec (0.98 MB/sec), 7.4 ms avg latency, 40.0 ms max latency.
5009 records sent, 1001.2 records/sec (0.98 MB/sec), 7.1 ms avg latency, 23.0 ms max latency.
5003 records sent, 1000.6 records/sec (0.98 MB/sec), 7.5 ms avg latency, 40.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 6.5 ms avg latency, 27.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 6.2 ms avg latency, 21.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 6.2 ms avg latency, 23.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 6.0 ms avg latency, 19.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 6.0 ms avg latency, 28.0 ms max latency.
5001 records sent, 999.8 records/sec (0.98 MB/sec), 5.6 ms avg latency, 20.0 ms max latency.
5005 records sent, 1000.6 records/sec (0.98 MB/sec), 5.5 ms avg latency, 20.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 5.5 ms avg latency, 21.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.6 ms avg latency, 22.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 5.5 ms avg latency, 39.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 5.5 ms avg latency, 21.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 5.4 ms avg latency, 13.0 ms max latency.
100000 records sent, 999.760058 records/sec (0.98 MB/sec), 9.99 ms avg latency, 832.00 ms max latency, 6 ms 50th, 14 ms 95th, 71 ms 99th, 427 ms 99.9th.
