4997 records sent, 999.0 records/sec (0.98 MB/sec), 33.3 ms avg latency, 676.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 5.0 ms avg latency, 9.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 24.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 26.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.8 ms avg latency, 21.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.7 ms avg latency, 24.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 4.6 ms avg latency, 10.0 ms max latency.
5001 records sent, 999.2 records/sec (0.98 MB/sec), 4.5 ms avg latency, 11.0 ms max latency.
5005 records sent, 1000.8 records/sec (0.98 MB/sec), 4.5 ms avg latency, 19.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 4.6 ms avg latency, 28.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.5 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.5 ms avg latency, 9.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 4.5 ms avg latency, 11.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.5 ms avg latency, 27.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 4.6 ms avg latency, 27.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.5 ms avg latency, 8.0 ms max latency.
100000 records sent, 999.810036 records/sec (0.98 MB/sec), 6.08 ms avg latency, 676.00 ms max latency, 5 ms 50th, 7 ms 95th, 10 ms 99th, 240 ms 99.9th.
