4996 records sent, 999.2 records/sec (9.76 MB/sec), 31.5 ms avg latency, 515.0 ms max latency.
5004 records sent, 1000.8 records/sec (9.77 MB/sec), 3.0 ms avg latency, 23.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 3.0 ms avg latency, 29.0 ms max latency.
4997 records sent, 999.4 records/sec (9.76 MB/sec), 3.2 ms avg latency, 43.0 ms max latency.
5006 records sent, 1001.2 records/sec (9.78 MB/sec), 3.2 ms avg latency, 33.0 ms max latency.
5000 records sent, 999.8 records/sec (9.76 MB/sec), 4.1 ms avg latency, 26.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 4.1 ms avg latency, 27.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 3.8 ms avg latency, 26.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 3.9 ms avg latency, 38.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 5.4 ms avg latency, 158.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 3.6 ms avg latency, 26.0 ms max latency.
4999 records sent, 999.6 records/sec (9.76 MB/sec), 5.1 ms avg latency, 55.0 ms max latency.
5005 records sent, 1000.6 records/sec (9.77 MB/sec), 4.1 ms avg latency, 51.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 2.9 ms avg latency, 17.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 3.0 ms avg latency, 14.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 3.6 ms avg latency, 26.0 ms max latency.
4998 records sent, 999.6 records/sec (9.76 MB/sec), 4.4 ms avg latency, 49.0 ms max latency.
4994 records sent, 998.8 records/sec (9.75 MB/sec), 7.0 ms avg latency, 58.0 ms max latency.
5006 records sent, 1000.0 records/sec (9.77 MB/sec), 5.2 ms avg latency, 38.0 ms max latency.
100000 records sent, 999.680102 records/sec (9.76 MB/sec), 5.38 ms avg latency, 515.00 ms max latency, 3 ms 50th, 11 ms 95th, 51 ms 99th, 212 ms 99.9th.
