4960 records sent, 992.0 records/sec (96.88 MB/sec), 27.3 ms avg latency, 555.0 ms max latency.
6405 records sent, 1280.7 records/sec (125.07 MB/sec), 107.9 ms avg latency, 268.0 ms max latency.
6783 records sent, 1356.1 records/sec (132.43 MB/sec), 118.6 ms avg latency, 371.0 ms max latency.
6166 records sent, 1233.2 records/sec (120.43 MB/sec), 214.7 ms avg latency, 483.0 ms max latency.
6190 records sent, 1237.8 records/sec (120.87 MB/sec), 255.8 ms avg latency, 505.0 ms max latency.
6274 records sent, 1254.8 records/sec (122.54 MB/sec), 259.2 ms avg latency, 405.0 ms max latency.
6080 records sent, 1216.0 records/sec (118.75 MB/sec), 264.0 ms avg latency, 473.0 ms max latency.
6232 records sent, 1246.4 records/sec (121.72 MB/sec), 261.0 ms avg latency, 499.0 ms max latency.
5564 records sent, 1112.8 records/sec (108.67 MB/sec), 285.6 ms avg latency, 552.0 ms max latency.
5220 records sent, 1043.4 records/sec (101.89 MB/sec), 291.6 ms avg latency, 768.0 ms max latency.
5350 records sent, 1069.8 records/sec (104.47 MB/sec), 326.0 ms avg latency, 1175.0 ms max latency.
6962 records sent, 1391.6 records/sec (135.90 MB/sec), 228.8 ms avg latency, 408.0 ms max latency.
5604 records sent, 1120.6 records/sec (109.43 MB/sec), 294.4 ms avg latency, 752.0 ms max latency.
6702 records sent, 1340.1 records/sec (130.87 MB/sec), 235.4 ms avg latency, 423.0 ms max latency.
6712 records sent, 1341.9 records/sec (131.04 MB/sec), 233.3 ms avg latency, 381.0 ms max latency.
6062 records sent, 1212.4 records/sec (118.40 MB/sec), 265.0 ms avg latency, 426.0 ms max latency.
100000 records sent, 1213.003396 records/sec (118.46 MB/sec), 230.08 ms avg latency, 1175.00 ms max latency, 232 ms 50th, 380 ms 95th, 550 ms 99th, 1025 ms 99.9th.
