producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4999 records sent, 998.8 records/sec (0.98 MB/sec), 59.4 ms avg latency, 1024.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 5.0 ms avg latency, 22.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.6 ms avg latency, 11.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.5 ms avg latency, 24.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.4 ms avg latency, 15.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.3 ms avg latency, 14.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.3 ms avg latency, 17.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.2 ms avg latency, 13.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 15.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 19.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 8.0 ms max latency.
5001 records sent, 999.8 records/sec (0.98 MB/sec), 4.1 ms avg latency, 17.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 15.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 17.0 ms max latency.
5003 records sent, 998.8 records/sec (0.98 MB/sec), 4.0 ms avg latency, 12.0 ms max latency.
5008 records sent, 1001.4 records/sec (0.98 MB/sec), 4.0 ms avg latency, 13.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 9.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 17.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 22.0 ms max latency.
100000 records sent, 999.750062 records/sec (0.98 MB/sec), 6.96 ms avg latency, 1024.00 ms max latency, 4 ms 50th, 7 ms 95th, 142 ms 99th, 293 ms 99.9th.
